fixture,landed,running,can_fail,all_three,cell_id,ci_modes,emits_only_ok_n,mutation_hook,off_main_branches
aio_refusal.c,yes,no,unproven,no,backend-parity-c/aio-refusal,none,yes,no,
append_pwrite.c,yes,no,unproven,no,backend-parity-c/append-pwrite,none,yes,no,
bind_getsockname.c,yes,no,unproven,no,backend-parity-c/bind-getsockname,none,yes,no,
cachestat_refusal.c,yes,no,unproven,no,backend-parity-c/cachestat-refusal,none,yes,no,
child_subreaper_refusal.c,yes,no,unproven,no,backend-parity-c/child-subreaper-refusal,none,yes,no,
close_range_fds.c,yes,no,unproven,no,backend-parity-c/close-range-fds,none,yes,no,
copy_file_range_refusal.c,yes,no,unproven,no,backend-parity-c/copy-file-range-refusal,none,yes,no,
cpuid_probe.c,yes,no,unproven,no,backend-parity-c/cpuid-probe,none,no,no,
cpu_virtualization.c,yes,no,unproven,no,backend-parity-c/cpu-virtualization,none,no,no,
cwd_roundtrip.c,yes,no,yes,no,backend-parity-c/cwd-roundtrip,none,yes,yes,
dup_shared_offset.c,yes,no,unproven,no,backend-parity-c/dup-shared-offset,none,yes,no,
epoll_pwait2_readiness.c,yes,no,unproven,no,backend-parity-c/epoll-pwait2,none,yes,no,
epoll_readiness.c,yes,no,unproven,no,backend-parity-c/epoll-readiness,none,yes,no,
eventfd_probe.c,yes,no,unproven,no,backend-parity-c/eventfd-semantics,none,no,no,
eventfd_semaphore.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-eventfd-sem
faccessat2_flags.c,yes,no,unproven,no,backend-parity-c/faccessat2-flags,none,yes,no,
fadvise_hints.c,yes,no,unproven,no,backend-parity-c/fadvise-hints,none,yes,no,
fallocate_extents.c,yes,no,unproven,no,backend-parity-c/fallocate-extents,none,yes,no,
fchmodat2_flags.c,yes,no,unproven,no,backend-parity-c/fchmodat2-flags,none,yes,no,
fchmod_bits.c,yes,no,unproven,no,backend-parity-c/fchmod-bits,none,yes,no,
fcntl_owner.c,yes,no,yes,no,backend-parity-c/fcntl-owner,none,yes,yes,
fcntl_status_flags.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-fcntl-status-flags
fd_cloexec_flags.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-fdflags
fd_duplication.c,yes,no,unproven,no,backend-parity-c/fd-duplication,none,yes,no,
file_backed_mmap.c,yes,no,unproven,no,backend-parity-c/file-backed-mmap,none,yes,no,
flock_lifecycle.c,yes,no,unproven,no,backend-parity-c/flock-lifecycle,none,yes,no,
fsync_durability.c,yes,no,unproven,no,backend-parity-c/fsync-durability,none,yes,no,
ftruncate_sparse.c,yes,no,unproven,no,backend-parity-c/ftruncate-sparse,none,yes,no,
getcpu_probe.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-getcpu
getrusage_self_accounting.c,yes,no,unproven,no,backend-parity-c/getrusage-self-accounting,none,yes,no,
inotify_watch.c,yes,no,unproven,no,backend-parity-c/inotify-watch,none,yes,no,
ioctl_fionread.c,yes,no,unproven,no,backend-parity-c/ioctl-fionread,none,yes,no,
ioprio_identity.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-ioprio-identity
kcmp_refusal.c,yes,no,unproven,no,backend-parity-c/kcmp-refusal,none,yes,no,
keepcaps_prctl.c,no,no,unproven,no,NONE,none,no,no,dbt/keepcaps-parity
linkat_flags.c,yes,no,unproven,no,backend-parity-c/linkat-flags,none,yes,no,
lseek_positioning.c,yes,no,unproven,no,backend-parity-c/lseek-positioning,none,yes,no,
madvise_reclaim_hints.c,no,no,unproven,no,NONE,none,no,no,dbt/madvise-reclaim-hints
mce_kill_policy.c,yes,no,unproven,no,backend-parity-c/mce-kill-refusal,none,yes,no,
membarrier_query.c,yes,no,yes,no,backend-parity-c/membarrier-query,none,yes,yes,
memfd_create.c,yes,no,unproven,no,backend-parity-c/memfd-create,none,yes,no,
mempolicy_default.c,yes,no,unproven,no,backend-parity-c/mempolicy-default,none,yes,no,
mincore_residency.c,yes,no,unproven,no,backend-parity-c/mincore-residency,none,yes,no,
mkdir_rmdir.c,yes,no,unproven,no,backend-parity-c/mkdir-rmdir,none,yes,no,
mknod_special.c,yes,no,unproven,no,backend-parity-c/mknod-special,none,yes,no,
mlock_family.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-mlock-family
mmap_layout_pointer_order.c,no,no,unproven,no,NONE,none,no,no,fix/mmap-layout-pointer-order
mprotect_transitions.c,no,no,unproven,no,NONE,none,no,no,codex/backend-parity-mprotect-transitions
