utc	load1	load5	load15
2026-08-07T02:54:28Z	1054.85	1130.58	744.59
2026-08-07T02:54:43Z	905.16	1093.81	738.74
2026-08-07T02:54:58Z	789.78	1059.09	733.08
2026-08-07T02:55:14Z	701.17	1026.24	727.55
2026-08-07T02:55:29Z	579.87	983.89	718.50
2026-08-07T02:55:44Z	458.93	937.37	707.53
2026-08-07T02:55:59Z	368.24	893.85	696.97
2026-08-07T02:56:14Z	294.92	851.92	686.41
2026-08-07T02:56:29Z	239.81	812.45	676.15
2026-08-07T02:56:44Z	192.89	774.02	665.76
2026-08-07T02:56:59Z	161.02	738.46	655.86
2026-08-07T02:57:14Z	165.02	711.57	648.41
2026-08-07T02:57:29Z	161.53	683.65	640.26
2026-08-07T02:57:44Z	157.72	656.86	632.18
2026-08-07T02:57:59Z	127.96	625.84	622.42
2026-08-07T02:58:14Z	106.04	596.58	612.90
2026-08-07T02:58:29Z	92.54	569.60	603.81
2026-08-07T02:58:44Z	124.18	553.24	597.91
2026-08-07T02:58:59Z	101.33	527.17	588.67
2026-08-07T02:59:14Z	114.92	509.68	581.98
2026-08-07T02:59:29Z	99.42	486.97	573.39
2026-08-07T02:59:44Z	90.16	465.93	565.12
2026-08-07T02:59:59Z	76.10	444.44	556.50
2026-08-07T03:00:14Z	68.42	424.65	548.23
2026-08-07T03:00:29Z	65.14	406.47	540.29
2026-08-07T03:00:44Z	57.31	388.01	532.11
2026-08-07T03:00:59Z	75.29	375.44	525.67
2026-08-07T03:01:14Z	63.93	358.24	517.63
2026-08-07T03:01:29Z	58.97	342.68	509.98
2026-08-07T03:01:44Z	54.02	327.70	502.40
2026-08-07T03:01:59Z	51.58	313.70	495.02
2026-08-07T03:02:14Z	44.68	299.33	487.41
2026-08-07T03:02:29Z	41.02	286.02	480.04
2026-08-07T03:02:44Z	64.86	278.94	474.59
2026-08-07T03:02:59Z	55.59	266.40	467.35
2026-08-07T03:03:14Z	83.39	262.71	462.95
2026-08-07T03:03:29Z	72.31	251.47	456.07
2026-08-07T03:03:44Z	64.69	241.06	449.38
2026-08-07T03:03:59Z	76.21	235.24	444.15
2026-08-07T03:04:14Z	74.23	226.87	438.06
2026-08-07T03:04:29Z	64.79	217.36	431.56
2026-08-07T03:04:44Z	54.58	207.61	424.94
2026-08-07T03:04:59Z	49.17	198.90	418.60
2026-08-07T03:05:14Z	43.07	190.23	412.25
2026-08-07T03:05:29Z	61.94	187.00	407.62
2026-08-07T03:05:44Z	60.31	180.61	402.00
2026-08-07T03:05:59Z	51.23	172.71	395.86
2026-08-07T03:06:14Z	44.97	165.36	389.88
2026-08-07T03:06:29Z	42.04	158.81	384.14
2026-08-07T03:06:44Z	60.26	156.90	379.89
2026-08-07T03:06:59Z	52.23	150.38	374.18
2026-08-07T03:07:14Z	45.96	144.21	368.58
2026-08-07T03:07:29Z	64.91	143.27	364.66
2026-08-07T03:07:44Z	55.69	137.38	359.18
2026-08-07T03:07:59Z	47.16	131.48	353.70
2026-08-07T03:08:14Z	45.16	126.87	348.62
2026-08-07T03:08:29Z	73.91	128.78	345.67
2026-08-07T03:08:44Z	62.14	123.48	340.46
2026-08-07T03:08:59Z	59.72	119.93	335.82
2026-08-07T03:09:14Z	52.89	115.51	330.91
2026-08-07T03:09:29Z	48.29	111.38	326.10
2026-08-07T03:09:44Z	44.83	107.52	321.40
2026-08-07T03:09:59Z	41.77	103.77	316.74
2026-08-07T03:10:14Z	41.85	100.76	312.35
2026-08-07T03:10:29Z	40.13	97.52	307.89
2026-08-07T03:10:44Z	57.08	98.17	304.72
2026-08-07T03:10:59Z	48.12	94.17	300.10
2026-08-07T03:11:14Z	43.61	90.93	295.74
2026-08-07T03:11:29Z	37.63	87.29	291.27
2026-08-07T03:11:44Z	34.61	84.18	286.98
2026-08-07T03:11:59Z	35.13	81.88	282.97
2026-08-07T03:12:14Z	31.76	78.85	278.76
2026-08-07T03:12:29Z	29.88	76.12	274.66
2026-08-07T03:12:44Z	31.43	74.25	270.87
2026-08-07T03:12:59Z	35.53	73.04	267.32
2026-08-07T03:13:14Z	33.65	70.80	263.48
2026-08-07T03:13:29Z	32.70	68.77	259.72
2026-08-07T03:13:44Z	35.80	67.71	256.32
2026-08-07T03:13:59Z	34.89	65.95	252.72
2026-08-07T03:14:14Z	34.40	64.32	249.19
2026-08-07T03:14:29Z	32.20	62.37	245.59
2026-08-07T03:14:44Z	30.27	60.47	242.03
2026-08-07T03:14:59Z	29.81	58.87	238.60
2026-08-07T03:15:14Z	29.69	57.42	235.24
2026-08-07T03:15:29Z	32.56	56.70	232.15
2026-08-07T03:15:44Z	30.56	55.08	228.81
2026-08-07T03:15:59Z	52.95	59.15	227.38
2026-08-07T03:16:14Z	49.50	58.06	224.32
2026-08-07T03:16:29Z	43.36	56.28	221.07
2026-08-07T03:16:44Z	38.78	54.62	217.89
2026-08-07T03:16:59Z	53.85	57.45	216.22
2026-08-07T03:17:14Z	50.62	56.62	213.40
2026-08-07T03:17:29Z	44.88	55.06	210.38
2026-08-07T03:17:44Z	42.87	54.09	207.57
2026-08-07T03:17:59Z	59.58	56.95	206.03
2026-08-07T03:18:14Z	79.64	61.10	204.97
2026-08-07T03:18:29Z	67.35	59.29	202.07
2026-08-07T03:18:44Z	59.14	57.88	199.33
2026-08-07T03:18:59Z	51.87	56.33	196.55
2026-08-07T03:19:14Z	46.65	54.95	193.85
2026-08-07T03:19:29Z	43.31	53.78	191.24
2026-08-07T03:19:44Z	39.89	52.50	188.62
2026-08-07T03:19:59Z	41.39	52.19	186.33
2026-08-07T03:20:14Z	73.53	58.34	186.17
2026-08-07T03:20:29Z	65.26	57.21	183.75
2026-08-07T03:20:44Z	78.53	60.74	182.89
2026-08-07T03:20:59Z	71.24	59.98	180.68
2026-08-07T03:21:14Z	66.73	59.53	178.60
2026-08-07T03:21:29Z	61.92	58.82	176.46
2026-08-07T03:21:44Z	60.39	58.65	174.52
2026-08-07T03:21:59Z	55.20	57.59	172.31
2026-08-07T03:22:14Z	52.78	56.94	170.26
2026-08-07T03:22:29Z	51.84	56.56	168.32
2026-08-07T03:22:44Z	49.17	55.64	165.64
2026-08-07T03:22:59Z	62.53	58.29	164.74
2026-08-07T03:23:14Z	76.97	61.96	164.25
