run_id,run_utc,hermit_sha,reverie_sha,dirty,run_mode,lane,bucket,test_id,test_mode,backend,cell_state,outcome,deterministic,tool_count_parity,output_hash,duration_ms,max_rss_kb,reason,verify_compare,bitwise_parity,compared_log_messages,tier
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter1-true,counter,ptrace,enabled,pass,1,,12,96,,ref syscalls=12,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter1-echo-hi,counter,ptrace,enabled,pass,1,,15,92,,ref syscalls=15,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter1-pwd,counter,ptrace,enabled,pass,1,,16,101,,ref syscalls=16,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter2-true,counter,ptrace,enabled,pass,1,,12,89,,ref syscalls=12,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter2-echo-hi,counter,ptrace,enabled,pass,1,,15,93,,ref syscalls=15,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter2-pwd,counter,ptrace,enabled,pass,1,,16,92,,ref syscalls=16,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter1-true,counter,kvm,enabled,diverge,1,0,8,109,,syscalls=8 vs ptrace 12,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter1-echo-hi,counter,kvm,enabled,diverge,1,0,11,500,,syscalls=11 vs ptrace 15,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter1-pwd,counter,kvm,enabled,diverge,1,0,12,407,,syscalls=12 vs ptrace 16,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter2-true,counter,kvm,enabled,diverge,1,0,8,340,,syscalls=8 vs ptrace 12,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter2-echo-hi,counter,kvm,enabled,diverge,1,0,11,262,,syscalls=11 vs ptrace 15,syscall-count-across-reps,,,counter
reverie-20260801,@1785598240,2f3689bd8830ab6b59dacea6cb72951f4d0d899e,a4f33d69a56ed4233a53b218c39d93807ffc8cd0,false,reverie,portable,reverie-examples,counter2-pwd,counter,kvm,enabled,diverge,1,0,12,543,,syscalls=12 vs ptrace 16,syscall-count-across-reps,,,counter
