image	sha_s1	sha_s2	sha_s3	sha_s1b	repro_s1	divergent	max_ms	worst_rc
craft__bko-104131-fsck-oob-read.raw	241c2ea8153efe01	241c2ea8153efe01	241c2ea8153efe01	241c2ea8153efe01	YES	no	218	1
craft__bko-154961-heap-overflow-chunk-items.raw	d94da506f8f09b5f	d94da506f8f09b5f	d94da506f8f09b5f	d94da506f8f09b5f	YES	no	218	1
craft__bko-156471-ubsan-trigger-crc32c-unaligned.raw	4a657769906eaaa0	4a657769906eaaa0	4a657769906eaaa0	4a657769906eaaa0	YES	no	219	1
craft__bko-199839.raw	c97040d2f8d18370	c97040d2f8d18370	c97040d2f8d18370	c97040d2f8d18370	YES	no	264	1
craft__superblock-total-bytes-0.raw	05aa4f1ee04f410d	05aa4f1ee04f410d	05aa4f1ee04f410d	05aa4f1ee04f410d	YES	no	218	1
up__bad-superblock-1.raw	1202280fabdea871	1202280fabdea871	1202280fabdea871	1202280fabdea871	YES	no	218	1
up__bad-superblock-2.raw	adcb103e8635cdbd	adcb103e8635cdbd	adcb103e8635cdbd	adcb103e8635cdbd	YES	no	218	1
up__bad-superblock-3.raw	6de4412d2e2382cf	6de4412d2e2382cf	6de4412d2e2382cf	6de4412d2e2382cf	YES	no	219	1
up__bko-104141-fsck-exception.raw	50eab9e5f7a7da78	50eab9e5f7a7da78	50eab9e5f7a7da78	50eab9e5f7a7da78	YES	no	218	1
up__bko-153641-unaligned-tree-block-bytenr.raw	0418425d22725985	0418425d22725985	0418425d22725985	0418425d22725985	YES	no	218	1
up__bko-154021-invalid-drop-level.raw	6cc21ce38624bc7a	6cc21ce38624bc7a	6cc21ce38624bc7a	6cc21ce38624bc7a	YES	no	218	1
up__bko-155151-bad-block-group-offset.raw	627498d436b38c22	627498d436b38c22	627498d436b38c22	627498d436b38c22	YES	no	218	1
up__bko-155181-bad-backref.raw	ec33f8b54d053a34	ec33f8b54d053a34	ec33f8b54d053a34	ec33f8b54d053a34	YES	no	219	1
up__bko-155201-wrong-chunk-item-in-root-tree.raw	966db665ad6f0a5c	966db665ad6f0a5c	966db665ad6f0a5c	966db665ad6f0a5c	YES	no	277	1
up__bko-155551-unaligned-tree-block.raw	f1d804f16f3cea1e	f1d804f16f3cea1e	f1d804f16f3cea1e	f1d804f16f3cea1e	YES	no	218	1
up__bko-155621-bad-block-group-offset.raw	2888fb87c1c5b3dc	2888fb87c1c5b3dc	2888fb87c1c5b3dc	2888fb87c1c5b3dc	YES	no	218	1
up__bko-156731.raw	f050d9db6657ec14	f050d9db6657ec14	f050d9db6657ec14	f050d9db6657ec14	YES	no	218	1
up__bko-156741.raw	f050d9db6657ec14	f050d9db6657ec14	f050d9db6657ec14	f050d9db6657ec14	YES	no	219	1
