image	sha_s1	sha_s2	sha_s3	sha_s1b	repro_s1	divergent	max_ms	worst_rc
craft__bko-104131-fsck-oob-read.raw	e9468059c78a25b0	e9468059c78a25b0	e9468059c78a25b0	e9468059c78a25b0	YES	no	218	255
craft__bko-154961-heap-overflow-chunk-items.raw	32cb2f29b07ae76d	58927644ccac5373	32cb2f29b07ae76d	32cb2f29b07ae76d	YES	DIVERGENT(2)	421	0
craft__bko-156471-ubsan-trigger-crc32c-unaligned.raw	e0b140308a7a7ed1	7451fe1804051f65	e0b140308a7a7ed1	e0b140308a7a7ed1	YES	DIVERGENT(2)	419	0
craft__bko-199839.raw	d2b59c4a20c40caa	0d64aaf9473d08db	d2b59c4a20c40caa	d2b59c4a20c40caa	YES	DIVERGENT(2)	419	0
craft__superblock-total-bytes-0.raw	99ed3cdaff46679a	bc0621c0c188edb4	99ed3cdaff46679a	99ed3cdaff46679a	YES	DIVERGENT(2)	2840	0
up__bad-superblock-1.raw	d177a49af91a8d52	d177a49af91a8d52	d177a49af91a8d52	d177a49af91a8d52	YES	no	218	255
up__bad-superblock-2.raw	7475cdad67169811	7475cdad67169811	7475cdad67169811	7475cdad67169811	YES	no	218	255
up__bad-superblock-3.raw	6cf63ef3d31c0744	6cf63ef3d31c0744	6cf63ef3d31c0744	6cf63ef3d31c0744	YES	no	218	255
up__bko-104141-fsck-exception.raw	e9468059c78a25b0	e9468059c78a25b0	e9468059c78a25b0	e9468059c78a25b0	YES	no	218	255
up__bko-153641-unaligned-tree-block-bytenr.raw	5f2800a083a21198	27b28605b25addea	5f2800a083a21198	5f2800a083a21198	YES	DIVERGENT(2)	420	0
up__bko-154021-invalid-drop-level.raw	b16cb824e6b4c6fc	43ab644967917880	b16cb824e6b4c6fc	b16cb824e6b4c6fc	YES	DIVERGENT(2)	431	0
up__bko-155151-bad-block-group-offset.raw	3b63b22c5cc8d887	56511a30689b9f58	3b63b22c5cc8d887	3b63b22c5cc8d887	YES	DIVERGENT(2)	621	0
up__bko-155181-bad-backref.raw	8dd6c615cc63ec7f	b1273b60a35838d5	8dd6c615cc63ec7f	8dd6c615cc63ec7f	YES	DIVERGENT(2)	621	0
up__bko-155201-wrong-chunk-item-in-root-tree.raw	40cf651aa3b53cef	4c8311ae0477126d	40cf651aa3b53cef	40cf651aa3b53cef	YES	DIVERGENT(2)	419	0
up__bko-155551-unaligned-tree-block.raw	600ead7ec7dbb862	3bfb476b3a27d2db	600ead7ec7dbb862	600ead7ec7dbb862	YES	DIVERGENT(2)	218	0
up__bko-155621-bad-block-group-offset.raw	2bb03f6948e79af8	6508c9fe9d1fba56	2bb03f6948e79af8	2bb03f6948e79af8	YES	DIVERGENT(2)	420	239
up__bko-156731.raw	c47009525b97f739	f6ddcb13e43086a7	c47009525b97f739	c47009525b97f739	YES	DIVERGENT(2)	420	239
up__bko-156741.raw	c1ff38f7c53374e3	3104b86d2390e9cd	c1ff38f7c53374e3	c1ff38f7c53374e3	YES	DIVERGENT(2)	547	0
up__bko-156811-bad-parent-ref-qgroup-verify.raw	b2aecfac5be9a49c	8a0144e381c0f635	b2aecfac5be9a49c	b2aecfac5be9a49c	YES	DIVERGENT(2)	420	0
up__bko-161811.raw	d4f744c45fe67b46	6bbb3b11344bfdd3	d4f744c45fe67b46	d4f744c45fe67b46	YES	DIVERGENT(2)	420	0
up__bko-161821.raw	1383273a239ce2c4	699da3eadb9190e1	1383273a239ce2c4	1383273a239ce2c4	YES	DIVERGENT(2)	419	0
up__bko-166361-blocksize-zero.raw	36304464ef25673f	7644d2ea1c0b369d	36304464ef25673f	36304464ef25673f	YES	DIVERGENT(2)	419	0
up__bko-167551.raw	72129ae95d4f2837	b2b76bfe961a44ed	72129ae95d4f2837	72129ae95d4f2837	YES	DIVERGENT(2)	420	0
up__bko-167781.raw	8bd0e952a2ffabc5	ac722d11ccc7b7a5	8bd0e952a2ffabc5	8bd0e952a2ffabc5	YES	DIVERGENT(2)	420	0
up__bko-167921.raw	e48948af2f0adaba	09ed5851de66bc99	e48948af2f0adaba	e48948af2f0adaba	YES	DIVERGENT(2)	218	0
up__bko-168301.raw	6c4cbbc308d24088	9c5edec866f08190	6c4cbbc308d24088	6c4cbbc308d24088	YES	DIVERGENT(2)	622	0
up__bko-169301-1-blocksize-zero.raw	3ad3ca89871652b3	8d95a6b647e1bce0	3ad3ca89871652b3	3ad3ca89871652b3	YES	DIVERGENT(2)	218	0
up__bko-169301-2-blocksize-zero.raw	950911614f2c772e	45136574c499a387	950911614f2c772e	950911614f2c772e	YES	DIVERGENT(2)	420	0
up__bko-169311-blocksize-zero-qgroup-verify.raw	23e1b793002a12f7	982ac8a3fbe0b417	23e1b793002a12f7	23e1b793002a12f7	YES	DIVERGENT(2)	420	0
up__bko-172811.raw	0adf6e81204439d0	8fb4d3b599665b01	0adf6e81204439d0	0adf6e81204439d0	YES	DIVERGENT(2)	420	0
up__bko-172861.raw	8543d8f629632691	c23b2e871cfe9b0a	8543d8f629632691	8543d8f629632691	YES	DIVERGENT(2)	420	0
up__bko-199833-reloc-recovery-crash.raw	ceaa59d932a5f02d	304db56686a2f6a0	ceaa59d932a5f02d	ceaa59d932a5f02d	YES	DIVERGENT(2)	621	0
up__bko-200403.raw	1e273fc49edc92d6	e9a6c3f347a3138e	1e273fc49edc92d6	1e273fc49edc92d6	YES	DIVERGENT(2)	3646	234
up__bko-200409.raw	533da4891ee65e4c	6c80189d0b8187fd	533da4891ee65e4c	533da4891ee65e4c	YES	DIVERGENT(2)	621	0
up__bko-96971-btrfs-image.raw	16e22c8f048beaa3	16e22c8f048beaa3	16e22c8f048beaa3	16e22c8f048beaa3	YES	no	218	255
up__bko-97021-invalid-chunk-sectorsize.raw	773b2e98f4273a88	773b2e98f4273a88	773b2e98f4273a88	773b2e98f4273a88	YES	no	218	255
up__bko-97031-invalid-stripe-len-sys-array.raw	1aba17109dcb5304	9000efd1a7afdaf3	1aba17109dcb5304	1aba17109dcb5304	YES	DIVERGENT(2)	218	0
up__bko-97041-invalid-sub-stripes-zero-FPE.raw	2b88570baab25c36	f345f2e13c4b53a3	2b88570baab25c36	2b88570baab25c36	YES	DIVERGENT(2)	420	0
up__bko-97171-btrfs-image.raw	68cd9c40cb7890ee	b7627af4cc9d82db	68cd9c40cb7890ee	68cd9c40cb7890ee	YES	DIVERGENT(2)	218	0
up__bko-97191-btrfs-image.raw	307575f08347b5cc	c1acec1b60399e4d	307575f08347b5cc	307575f08347b5cc	YES	DIVERGENT(2)	419	0
up__bko-97271-btrfs-image.raw	22843d38f26e7983	0b64017fca08b848	22843d38f26e7983	22843d38f26e7983	YES	DIVERGENT(2)	419	251
up__superblock-stripsize-bogus.raw	db13cd5e84689a77	8deff062c91f352a	db13cd5e84689a77	db13cd5e84689a77	YES	DIVERGENT(2)	4251	0
up__sys-array-num-stripes-0.raw	519f37f687713f3f	2532d1631a27d67f	519f37f687713f3f	519f37f687713f3f	YES	DIVERGENT(2)	419	0
up__sys-chunk-stripe-len-bogus.raw	090bac0ef3733cf7	4bcf3b1ac4e14207	090bac0ef3733cf7	090bac0ef3733cf7	YES	DIVERGENT(2)	4453	0
up__sys-chunk-type-bogus.raw	fd26bbc23536dbb3	adc5a69ce7cf6200	fd26bbc23536dbb3	fd26bbc23536dbb3	YES	DIVERGENT(2)	5258	0
