config	n	distinct	div_rate	hit_rate	stf_mean	stf_median	stf_p90	s2K	K	mean_scan
plain	30	1	0.033	0.000	never	never	never	1.00	1	1.00
strict	30	1	0.033	0.000	never	never	never	1.00	1	1.00
chaos_ts-default	30	2	0.067	0.567	1.72	1.00	3	2.00	2	1.00
chaos_ts-1e6	30	2	0.067	0.033	15.53	16.00	28	15.00	2	1.00
chaos_ts-1e5	30	2	0.067	0.033	15.32	15.00	27	15.00	2	1.00
chaos_ts-1e4	30	29	0.967	1.000	1	1.00	1	5.00	5	1.00
chaos_ts-1e3	30	30	1.000	1.000	1	1.00	1	5.00	5	1.00
chaos_ts-1e2	30	30	1.000	1.000	1	1.00	1	5.00	5	1.00
ctr_ts-default	30	2	0.067	0.333	2.80	2.00	6	3.00	2	1.00
ctr_ts-1e6	30	2	0.067	0.033	15.46	16.00	27	16.00	2	1.00
ctr_ts-1e5	30	1	0.033	0.000	never	never	never	1.00	1	1.00
ctr_ts-1e4	30	28	0.933	1.000	1	1.00	1	5.00	5	1.00
ctr_ts-1e3	30	30	1.000	1.000	1	1.00	1	5.00	5	1.00
ctr_ts-1e2	30	30	1.000	1.000	1	1.00	1	5.00	5	1.00
chaos_maxts-1e6	30	2	0.067	0.067	10.47	9.00	21	9.00	2	1.00
chaos_maxts-1e5	30	2	0.067	0.033	15.62	16.00	27	16.00	2	1.00
chaos_heur-none	30	2	0.067	0.567	1.75	1.00	3	2.00	2	1.00
chaos_heur-random	30	2	0.067	0.267	3.44	3.00	7	3.00	2	1.00
chaos_heur-sticky0.1	30	2	0.067	0.167	5.07	4.00	11	4.00	2	1.00
chaos_heur-sticky0.5	30	2	0.067	0.167	5.14	4.00	11	4.00	2	1.00
chaos_heur-sticky0.9	30	2	0.067	0.033	15.75	16.00	28	15.00	2	1.00
chaos_heur-connectbind	30	2	0.067	0.567	1.72	1.00	3	2.00	2	1.00
chaos_futex-on	30	2	0.067	0.567	1.73	1.00	3	3.00	2	1.00
chaos_futex-on_ts-1e3	30	30	1.000	1.000	1	1.00	1	5.00	5	1.00
chaos_heurrandom_ts-1e3	30	30	1.000	1.000	1	1.00	1	5.00	5	1.00
