policy,load,rep,status,wall_s
wall-tight,idle,1,PASS,4.01
wall-tight,idle,2,PASS,4.26
wall-tight,idle,3,PASS,3.73
wall-tight,idle,4,PASS,2.45
wall-tight,idle,5,PASS,2.18
wall-tight,idle,6,PASS,2.85
wall-tight,idle,7,PASS,2.14
wall-tight,idle,8,PASS,2.38
cpu-generous,idle,1,PASS,2.18
cpu-generous,idle,2,PASS,2.21
cpu-generous,idle,3,PASS,2.61
cpu-generous,idle,4,PASS,3.13
cpu-generous,idle,5,PASS,2.19
cpu-generous,idle,6,PASS,2.19
cpu-generous,idle,7,PASS,2.17
cpu-generous,idle,8,PASS,2.11
wall-tight,moderate,1,TIMEOUT,4.20
wall-tight,moderate,2,TIMEOUT,4.26
wall-tight,moderate,3,TIMEOUT,4.20
wall-tight,moderate,4,TIMEOUT,4.43
wall-tight,moderate,5,TIMEOUT,4.24
wall-tight,moderate,6,TIMEOUT,4.15
wall-tight,moderate,7,TIMEOUT,4.20
wall-tight,moderate,8,TIMEOUT,4.23
cpu-generous,moderate,1,PASS,6.03
cpu-generous,moderate,2,PASS,6.03
cpu-generous,moderate,3,PASS,6.03
cpu-generous,moderate,4,PASS,6.36
cpu-generous,moderate,5,PASS,6.51
cpu-generous,moderate,6,PASS,6.08
cpu-generous,moderate,7,PASS,6.13
cpu-generous,moderate,8,PASS,6.11
wall-tight,swamped,1,TIMEOUT,4.73
wall-tight,swamped,2,TIMEOUT,4.35
wall-tight,swamped,3,TIMEOUT,4.26
wall-tight,swamped,4,TIMEOUT,4.26
wall-tight,swamped,5,TIMEOUT,4.23
wall-tight,swamped,6,TIMEOUT,4.27
wall-tight,swamped,7,TIMEOUT,4.26
wall-tight,swamped,8,TIMEOUT,4.35
cpu-generous,swamped,1,PASS,12.50
cpu-generous,swamped,2,PASS,12.12
cpu-generous,swamped,3,PASS,12.57
cpu-generous,swamped,4,PASS,12.27
cpu-generous,swamped,5,PASS,12.25
cpu-generous,swamped,6,PASS,12.10
cpu-generous,swamped,7,PASS,12.51
cpu-generous,swamped,8,PASS,12.04
