lane,date,n,median_min,p90_min
hermit-p0-demo-gate,2026-07-31,4,9.8,24.3
hermit-portable-hosted,2026-07-28,311,14.7,24.9
hermit-portable-hosted,2026-07-29,42,15.4,29.6
hermit-portable-hosted,2026-07-30,89,23.8,36.1
hermit-portable-hosted,2026-07-31,85,33.5,46.0
hermit-portable-hosted,2026-08-01,229,44.0,48.9
hermit-portable-hosted,2026-08-02,23,38.3,48.8
hermit-privileged-selfhosted,2026-07-28,389,0.2,4.8
hermit-privileged-selfhosted,2026-07-29,60,0.2,2.5
hermit-privileged-selfhosted,2026-07-30,129,0.4,2.5
hermit-privileged-selfhosted,2026-07-31,111,0.2,2.4
hermit-privileged-selfhosted,2026-08-01,266,0.0,2.4
hermit-privileged-selfhosted,2026-08-02,34,0.1,2.5
hermit-validation-levels,2026-07-24,76,5.5,30.6
hermit-validation-levels,2026-07-25,204,5.6,33.1
hermit-validation-levels,2026-07-26,36,14.5,29.2
reverie-rust,2026-07-23,19,2.4,2.7
reverie-rust,2026-07-24,102,2.8,7.8
reverie-rust,2026-07-25,107,2.8,9.0
reverie-rust,2026-07-26,217,3.2,4.3
reverie-rust,2026-07-27,66,3.7,11.9
reverie-rust,2026-07-28,156,3.9,5.4
reverie-rust,2026-07-29,77,4.1,32.8
reverie-rust,2026-07-30,74,4.3,16.6
reverie-rust,2026-07-31,26,7.1,7.4
reverie-rust,2026-08-01,27,10.1,10.5
reverie-rust,2026-08-02,13,8.8,10.2
