fixture,syscall_class,N,K_box,rc,user_s,sys_s,wall_s,note
# --- K=2 medians of 5 reps (authoritative absolute anchors; see median-anchors.json) ---
yield_loop,coordinator-event,10000,2,0,0.24,0.73,0.98,median5
yield_loop,coordinator-event,50000,2,0,1.12,2.40,3.47,median5
yield_loop,native,10000,2,0,0.00,0.00,0.00,median5
yield_loop,native,50000,2,0,0.00,0.00,0.00,median5
# marginal (det-native, N=10000->50000): user=22.0us sys=41.75us wall=62.25us/call; user/CPU=34.5% sys/CPU=65.5%; CPU/wall~102% (busy-poll, ~0 idle)
# --- 1-CPU box livelock (structural: RPC is 2-thread, needs K>=2) ---
yield_loop,coordinator-event,2000,1,124,,,,HANG-45s-livelock
yield_loop,native,1000000,1,0,0.02,0.14,0.16,native-fine-on-1cpu
# --- exploratory K=4 single runs (startup-noisy; ratio-only) ---
yield_loop,coordinator-event,2000,4,0,0.06,0.20,0.34,
yield_loop,coordinator-event,5000,4,0,0.13,0.32,0.46,
yield_loop,coordinator-event,10000,4,0,0.23,0.57,0.81,
syscall_loop,passthrough-getpid,5000,4,0,0.11,0.58,0.69,vacuous-probe
syscall_loop,passthrough-getpid,20000,4,0,0.48,1.34,1.83,vacuous-probe
syscall_loop,passthrough-getpid,40000,4,0,0.98,2.55,3.54,vacuous-probe
syscall_loop,passthrough-getpid,10000,4,124,,,,HEISENBUG-hang
syscall_loop,passthrough-getpid,100000,1,124,,,,HANG
# getpid marginal (5000->40000): user=24.86 sys=56.29us/call, user/CPU=31% (PassThrough, NO coordinator RPC)
