backend,syscall,count
ptrace,openat,30
ptrace,mmap,21
ptrace,close,19
ptrace,fstat,18
ptrace,pread64,4
ptrace,read,3
ptrace,mprotect,3
ptrace,brk,3
ptrace,arch_prctl,2
ptrace,write,1
ptrace,set_tid_address,1
ptrace,set_robust_list,1
ptrace,rseq,1
ptrace,prlimit64,1
ptrace,munmap,1
ptrace,getrandom,1
ptrace,futex,1
ptrace,exit_group,1
ptrace,access,1
dbi,openat,30
dbi,mmap,21
dbi,close,19
dbi,fstat,18
dbi,pread64,4
dbi,read,3
dbi,mprotect,3
dbi,brk,3
dbi,arch_prctl,2
dbi,write,1
dbi,set_tid_address,1
dbi,set_robust_list,1
dbi,rseq,1
dbi,prlimit64,1
dbi,munmap,1
dbi,getrandom,1
dbi,futex,1
dbi,exit_group,1
dbi,access,1
kvm,openat,30
kvm,mmap,21
kvm,close,19
kvm,fstat,18
kvm,pread64,4
kvm,mprotect,3
kvm,brk,3
kvm,arch_prctl,2
kvm,write,1
kvm,uname,1
kvm,set_tid_address,1
kvm,set_robust_list,1
kvm,rseq,1
kvm,prlimit64,1
kvm,munmap,1
kvm,getrandom,1
kvm,exit_group,1
kvm,access,1
