node,cap_bytes,cap_GiB,target_GiB,rc,verdict
build.workspace,8589934592,8.00,8.50,137,PASS-OOM-KILLED
build.dbi_release,9126805504,8.50,9.00,137,PASS-OOM-KILLED
build.sabre_release,2684354560,2.50,3.00,137,PASS-OOM-KILLED
lint.clippy,5905580032,5.50,6.00,137,PASS-OOM-KILLED
doc.doctests,2147483648,2.00,2.50,137,PASS-OOM-KILLED
doc.rustdoc,3221225472,3.00,3.50,137,PASS-OOM-KILLED
test.regular_crates,3758096384,3.50,4.00,137,PASS-OOM-KILLED
build.flaky_harnesses,2147483648,2.00,2.50,137,PASS-OOM-KILLED
test.hermit_unit,6979321856,6.50,7.00,137,PASS-OOM-KILLED
test.detcore_unit,3758096384,3.50,4.00,137,PASS-OOM-KILLED
