backend	prefix_pages	runs	modal_d01	modal_d12	modal_d23	modal_count	distinct_outcomes
native	0	20	-2	-3	-8	20	1
native	1	20	-2	-3	-7	18	3
native	2	20	-2	-8	-4	19	2
native	3	20	-2	-7	-4	20	1
native	4	20	-2	-6	-4	19	2
native	5	20	-6	-3	-4	20	1
native	6	20	-5	-3	-4	20	1
native	7	20	-2	-3	-4	20	1
native	8	20	-2	-3	-16	20	1
ptrace	0	3	-2	-3	-8	3	1
ptrace	1	3	-2	-3	-7	3	1
ptrace	2	3	-2	-8	-4	3	1
ptrace	3	3	-2	-7	-4	3	1
ptrace	4	3	-2	-6	-4	3	1
ptrace	5	3	-6	-3	-4	3	1
ptrace	6	3	-5	-3	-4	3	1
ptrace	7	3	-2	-3	-4	3	1
ptrace	8	3	-2	-3	-16	3	1
dbi	0	3	-2	-3	-4	3	1
dbi	1	3	-2	-3	-4	3	1
dbi	2	3	-2	-3	-4	3	1
dbi	3	3	-2	-3	-4	3	1
dbi	4	3	-2	-3	-4	3	1
dbi	5	3	-2	-3	-4	3	1
dbi	6	3	-2	-3	-4	3	1
dbi	7	3	-2	-3	-4	3	1
dbi	8	3	-2	-3	-4	3	1
