id,ptrace,dbi,dbi_manifest_enabled,dbi_sec
c-programs/acct-refusal-probe,PASS,PASS,True,5.8
c-programs/add-key-enosys,PASS,PASS,True,5.7
c-programs/adjtimex-deterministic,PASS,PASS,True,5.7
c-programs/arch-prctl-determinism,PASS,FAIL,False,5.7
c-programs/bpf-enosys,PASS,PASS,True,5.7
c-programs/cachestat-enosys,PASS,PASS,True,5.7
c-programs/clock-adjtime-deterministic,PASS,PASS,True,5.6
c-programs/clone,PASS,PASS,False,5.6
c-programs/copy-file-range-refusal-probe,PASS,PASS,True,5.8
c-programs/dbi-copied-tiocgpgrp,PASS,PASS,False,5.9
c-programs/dbi-exec-failure,PASS,PASS,False,5.8
c-programs/dbi-execveat-unsupported,PASS,PASS,True,5.8
c-programs/dbi-mmap-exec,PASS,PASS,False,5.9
c-programs/dbi-pid-virtualization,FAIL,PASS,False,6.2
c-programs/dbi-prlimit-self,PASS,PASS,False,5.8
c-programs/dbi-self-sigqueue,PASS,PASS,True,5.8
c-programs/dbi-unsupported-syscall,PASS,FAIL,False,5.5
c-programs/dbi-wait-lifecycle,FAIL,PASS,False,5.4
c-programs/epoll-determinism,PASS,FAIL,False,5.5
c-programs/fp-reduction-nondeterminism,PASS,FAIL,False,95.5
c-programs/futex-requeue-enosys,PASS,PASS,True,5.5
c-programs/futex-waitv-enosys,PASS,PASS,True,5.4
c-programs/futex-wake-enosys,PASS,PASS,True,5.2
c-programs/get-robust-list-child,PASS,FAIL,False,5.4
c-programs/get-robust-list-self,PASS,PASS,True,5.4
c-programs/get-robust-list-thread,PASS,PASS,False,5.5
c-programs/getcpu,PASS,PASS,False,5.4
c-programs/getitimer-determinism-probe,PASS,PASS,False,5.4
c-programs/getsockopt-null,PASS,PASS,False,5.3
c-programs/hello-alarm,PASS,PASS,False,5.4
c-programs/hello-nostdlib,PASS,PASS,False,5.3
c-programs/hello-signals,PASS,PASS,False,5.4
c-programs/io-uring-fallback,PASS,PASS,False,5.4
c-programs/io-uring-ring-determinism,PASS,PASS,False,5.4
c-programs/ioctl-fioclex,PASS,PASS,True,5.4
c-programs/ioctl-siocethtool,PASS,PASS,False,5.6
c-programs/ipc-determinism,FAIL,FAIL,False,5.6
c-programs/just-spin,PASS,PASS,False,6.9
c-programs/kcmp-eperm,PASS,PASS,True,5.4
c-programs/keyctl-enosys,PASS,PASS,True,5.4
c-programs/keyctl-passthrough,PASS,PASS,False,5.3
c-programs/listmount-enosys,PASS,PASS,True,5.4
c-programs/liteinst-advanced,FAIL,FAIL,False,5.4
c-programs/lsm-get-self-attr-enosys,PASS,PASS,True,5.2
c-programs/lsm-list-modules-enosys,PASS,PASS,True,5.2
c-programs/lsm-set-self-attr-enosys,PASS,PASS,True,5.2
c-programs/madvise-determinism,PASS,PASS,False,5.2
c-programs/map-shadow-stack-enosys,PASS,PASS,True,5.2
c-programs/memfd-secret-enosys,PASS,PASS,True,5.3
c-programs/meminfo-available-deterministic,PASS,PASS,False,5.3
c-programs/meminfo-cached-deterministic,PASS,PASS,False,5.5
c-programs/meminfo-free-deterministic,PASS,PASS,False,5.5
c-programs/memorypress,PASS,PASS,False,5.4
c-programs/mmap-determinism,PASS,FAIL,False,5.5
c-programs/mmap-stress-determinism,PASS,PASS,False,5.6
c-programs/name-to-handle-at-eopnotsupp,PASS,PASS,False,5.4
c-programs/name-to-handle-directory-eopnotsupp,PASS,PASS,False,5.5
c-programs/name-to-handle-empty-path-eopnotsupp,PASS,PASS,False,5.5
c-programs/name-to-handle-regular-eopnotsupp,PASS,PASS,False,5.4
c-programs/nanosleep-par,PASS,PASS,False,7.8
c-programs/nanosleep-threads-nocrash,PASS,PASS,False,5.5
c-programs/nanosleep-threads-simple,FAIL,FAIL,False,95.3
c-programs/netlink-autobind-generic,PASS,PASS,False,5.6
c-programs/netlink-autobind-route,PASS,PASS,False,5.6
c-programs/netlink-autobind-usersock,PASS,PASS,False,8.0
c-programs/netns-cookie-tcp4,PASS,PASS,False,8.0
c-programs/netns-cookie-tcp6,PASS,PASS,False,10.3
c-programs/netns-cookie-udp4,PASS,PASS,False,15.7
c-programs/perf-event-hardware-enosys,PASS,PASS,True,17.5
c-programs/perf-event-open-enosys,PASS,PASS,True,15.4
c-programs/perf-event-software-enosys,PASS,PASS,True,14.8
c-programs/perf-event-watchpoint-enosys,PASS,PASS,True,6.9
c-programs/periodic-setitimer-delivery,PASS,PASS,False,5.6
c-programs/pidfd-open-self,PASS,PASS,False,5.4
c-programs/pidfd-poll-self,PASS,PASS,False,5.7
c-programs/pidfd-waitid-child,PASS,FAIL,False,5.9
c-programs/ppoll-readv,PASS,PASS,False,5.9
c-programs/ppoll-simulation,PASS,PASS,False,5.9
c-programs/prctl-dumpable,PASS,PASS,False,5.2
c-programs/pread64-nostdlib,PASS,PASS,False,5.1
c-programs/print-memaddrs,PASS,PASS,False,5.3
c-programs/printf-with-threads,PASS,PASS,False,5.2
c-programs/proc-fd-link-aliases,PASS,PASS,False,5.3
c-programs/proc-fdinfo,PASS,PASS,False,5.2
c-programs/proc-locks,PASS,FAIL,False,5.3
c-programs/process-mrelease-enosys,PASS,PASS,True,5.6
c-programs/process-vm-readv-refusal-probe,PASS,PASS,True,5.6
c-programs/process-vm-writev-refusal-probe,PASS,PASS,True,5.5
c-programs/procfs-positioned-probe,PASS,PASS,False,5.2
c-programs/prodcons-determinism,PASS,PASS,False,8.4
c-programs/pselect6-simulation,PASS,FAIL,False,95.2
c-programs/ptrace-attach-eperm,PASS,FAIL,False,5.2
c-programs/ptrace-eperm,PASS,PASS,True,5.2
c-programs/ptrace-seize-eperm,PASS,FAIL,False,5.1
c-programs/ptrace-traceme-eperm,PASS,PASS,True,5.2
c-programs/pty-nr-count,PASS,PASS,False,5.3
c-programs/racewrite-nostdlib,PASS,PASS,False,5.3
c-programs/random-sources,PASS,PASS,False,5.4
c-programs/rcx-canonicalization,PASS,PASS,False,5.2
c-programs/record-replay-fd-close,PASS,PASS,False,5.6
c-programs/record-replay-file-state,PASS,PASS,False,5.5
c-programs/record-replay-lseek-seek-cur,PASS,FAIL,False,5.5
c-programs/record-replay-setsockopt,PASS,PASS,False,5.5
c-programs/recvmsg-scm-rights-mmap,PASS,PASS,False,5.2
c-programs/remap-file-pages-anonymous-enosys,PASS,PASS,True,5.2
c-programs/remap-file-pages-memfd-enosys,PASS,PASS,True,5.2
c-programs/remap-file-pages-tmpfile-enosys,PASS,PASS,True,5.3
c-programs/request-key-enosys,PASS,PASS,True,5.5
c-programs/resource-determinism,PASS,FAIL,False,5.5
c-programs/sched-setattr-batch,PASS,PASS,False,5.6
c-programs/sched-setattr-idle,PASS,PASS,False,5.5
c-programs/sched-setattr-other,PASS,PASS,False,5.3
c-programs/sched-yield-progress,PASS,PASS,False,5.3
c-programs/scheduler-policy-queries,PASS,PASS,False,5.2
c-programs/setitimer-determinism,PASS,PASS,False,5.4
c-programs/sigmask-preemption,PASS,PASS,False,5.5
c-programs/signal-determinism,FAIL,FAIL,False,5.5
c-programs/sigpipe-siginfo,PASS,FAIL,False,5.5
c-programs/sigtimedwait-no-timeout,PASS,FAIL,False,95.1
c-programs/sigtimedwait-timeout-0s,PASS,PASS,False,5.3
c-programs/sigtimedwait-timeout-1s,PASS,PASS,False,8.9
c-programs/so-incoming-cpu-tcp4,PASS,FAIL,False,5.3
c-programs/so-incoming-cpu-tcp6,PASS,FAIL,False,5.4
c-programs/so-incoming-cpu-udp4,PASS,PASS,False,5.3
c-programs/socket-cookie-tcp,PASS,PASS,False,5.3
c-programs/socket-cookie-udp,PASS,PASS,False,5.3
c-programs/socket-cookie-unix,PASS,PASS,False,5.3
c-programs/socket-ioctl-timestamp,FAIL,FAIL,False,5.4
c-programs/socket-timestamp-edge-cases,PASS,PASS,False,5.5
c-programs/socket-timestamp-timespec,PASS,PASS,False,5.4
c-programs/socket-timestamp-timeval,PASS,PASS,False,5.6
c-programs/splice-enosys,PASS,PASS,True,5.6
c-programs/statmount-enosys,PASS,PASS,True,5.6
c-programs/syscall-file-io,PASS,PASS,False,5.3
c-programs/syscall-file-metadata,PASS,PASS,False,5.3
c-programs/syscall-quick-wins,PASS,PASS,False,5.3
c-programs/sysfs-enosys,PASS,PASS,True,5.3
c-programs/sysinfo,PASS,PASS,False,5.3
c-programs/sysinfo-uptime,PASS,PASS,False,11.7
c-programs/syslog-deterministic,PASS,PASS,True,5.3
c-programs/sysv-sem-enosys,PASS,PASS,True,5.2
c-programs/sysv-shm-enosys,PASS,PASS,True,5.2
c-programs/tcp-info-accept4,PASS,FAIL,False,5.1
c-programs/tcp-info-accept6,PASS,FAIL,False,5.1
c-programs/tcp-info-client4,PASS,FAIL,False,5.2
c-programs/tee-enosys,PASS,PASS,True,5.2
c-programs/thread-self-procfs-handoff,PASS,PASS,False,5.3
c-programs/thread-sync-determinism,PASS,FAIL,False,5.3
c-programs/threadexhaustion,PASS,PASS,False,5.3
c-programs/timer-create-determinism,PASS,PASS,False,5.3
c-programs/uname,PASS,PASS,False,5.3
c-programs/unix-autobind-dgram,PASS,PASS,False,5.2
c-programs/unix-autobind-seqpacket,PASS,PASS,False,5.2
c-programs/unix-autobind-stream,PASS,PASS,False,5.2
c-programs/ustat-enosys,PASS,PASS,True,5.2
c-programs/vforkexec,PASS,PASS,False,5.3
c-programs/vmsplice-enosys,PASS,PASS,True,5.2
c-programs/wait-on-child,PASS,PASS,False,5.2
c-programs/writev-determinism,PASS,FAIL,False,95.1
