fixture,l1_parity,l2_verify,note
aio_refusal,PASS,PASS,portable-profile
cachestat_refusal,PASS,PASS,portable-profile
child_subreaper_refusal,PASS,PASS,portable-profile
close_range_fds,PASS,PASS,portable-profile
copy_file_range_refusal,PASS,PASS,portable-profile
epoll_pwait2_readiness,PASS,PASS,portable-profile
epoll_readiness,PASS,PASS,portable-profile
flock_lifecycle,PASS,PASS,portable-profile
fsync_durability,PASS,PASS,portable-profile
getrusage_self_accounting,PASS,PASS,portable-profile
inotify_watch,PASS,PASS,portable-profile
mce_kill_policy,PASS,PASS,portable-profile
mempolicy_default,PASS,PASS,portable-profile
no_new_privs_refusal,PASS,PASS,portable-profile
pid_probe,PASS,PASS,portable-profile
prctl_pdeathsig,PASS,PASS,portable-profile
pthread_lifecycle,PASS,PASS,portable-profile
readdir_entries,PASS,PASS,portable-profile
robust_list,PASS,PASS,portable-profile
seccomp_refusal,PASS,PASS,portable-profile
statfs_free_determinism,PASS,PASS,portable-profile
sync_file_range,PASS,PASS,portable-profile
sysv_ipc_refusal,PASS,PASS,portable-profile
thp_disable,PASS,PASS,portable-profile
umask_mode,PASS,PASS,portable-profile
uname_identity,PASS,PASS,portable-profile
socket_options,PASS,PASS,portable-profile
shutdown_socketpair,PASS,PASS,portable-profile
sockname_unnamed,PASS,PASS,portable-profile
bind_getsockname,PASS,PASS,portable-profile
msync_writeback,PASS,PASS,portable-profile
faccessat2_flags,PASS,PASS,gnu11-recompile
fallocate_extents,PASS,PASS,gnu11-recompile
fchmod_bits,PASS,PASS,gnu11-recompile
kcmp_refusal,PASS,PASS,gnu11-recompile
linkat_flags,PASS,PASS,gnu11-recompile
memfd_create,PASS,PASS,gnu11-recompile
mincore_residency,PASS,PASS,gnu11-recompile
mkdir_rmdir,PASS,PASS,gnu11-recompile
mknod_special,PASS,PASS,gnu11-recompile
name_to_handle,PASS,PASS,gnu11-recompile
openat2_refusal,PASS,PASS,gnu11-recompile
path_file_ops,PASS,PASS,gnu11-recompile
pipe2_flags,PASS,PASS,gnu11-recompile
preadv2_flags,PASS,PASS,gnu11-recompile
rename_ops,PASS,PASS,gnu11-recompile
renameat2_flags,PASS,PASS,gnu11-recompile
signalfd_create,PASS,PASS,gnu11-recompile
statx_metadata,PASS,PASS,gnu11-recompile
symlink_ops,PASS,PASS,gnu11-recompile
utimensat_determinism,PASS,PASS,gnu11-recompile
ioctl_fionread,PASS,PASS,gnu11-recompile
cpuid_probe,PASS,PASS,requires-cpuid-virtualization(not --no-virtualize-cpuid)
