syscall,calls,errors,seconds,pct_time
futex,525703,80150,1.871328,52.40
ppoll,112742,1,1.044518,29.25
write,130886,0,0.281835,7.89
read,112856,0,0.274855,7.70
writev,25531,0,0.059769,1.67
clock_nanosleep,36,0,0.030111,0.84
openat,185,43,0.001787,0.05
wait4,6,3,0.001746,0.05
mmap,447,0,0.001366,0.04
execve,22,18,0.001198,0.03
clone,3,0,0.000327,0.01
mprotect,758,0,0.000320,0.01
close,164,0,0.000269,0.01
madvise,630,0,0.000211,0.01
fstat,146,0,0.000208,0.01
brk,114,0,0.000134,0.00
munmap,26,0,0.000128,0.00
rt_sigprocmask,56,0,0.000123,0.00
access,42,29,0.000123,0.00
newfstatat,76,36,0.000116,0.00
getdents64,6,0,0.000102,0.00
clone3,2,0,0.000094,0.00
rt_sigaction,60,0,0.000068,0.00
io_uring_setup,2,0,0.000045,0.00
faccessat2,3,0,0.000036,0.00
lseek,16,0,0.000022,0.00
pread64,16,0,0.000020,0.00
pipe,3,0,0.000020,0.00
seccomp,1,1,0.000020,0.00
rseq,6,0,0.000020,0.00
fcntl,14,1,0.000015,0.00
readlink,1,0,0.000013,0.00
set_robust_list,9,0,0.000013,0.00
eventfd2,3,0,0.000011,0.00
prlimit64,8,0,0.000011,0.00
getpid,7,0,0.000010,0.00
getgid,9,0,0.000009,0.00
arch_prctl,8,4,0.000009,0.00
getuid,9,0,0.000008,0.00
getegid,9,0,0.000008,0.00
ioctl,8,8,0.000007,0.00
geteuid,9,0,0.000007,0.00
memfd_create,2,0,0.000007,0.00
rt_sigreturn,3,0,0.000006,0.00
dup2,4,0,0.000006,0.00
getppid,3,0,0.000005,0.00
statfs,2,2,0.000005,0.00
prctl,2,0,0.000005,0.00
set_tid_address,4,0,0.000005,0.00
getrandom,6,0,0.000004,0.00
uname,1,0,0.000003,0.00
getpgrp,1,0,0.000003,0.00
gettid,2,0,0.000003,0.00
sched_getaffinity,1,0,0.000003,0.00
signalfd4,1,0,0.000003,0.00
chdir,2,0,0.000002,0.00
fstatfs,1,0,0.000001,0.00
readv,1,0,0.000000,0.00
fchdir,4,0,0.000000,0.00
sysinfo,1,0,0.000000,0.00
total,910679,80296,3.571101,100.00
