case,ground_truth,ptrace_rc,errno,kill_says_alive,proc_state,proc_state_correct
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
running,alive,-1,3,1,R,1
dead,dead,-1,3,0,?,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
unreaped_zombie,dead,,,1,Z,1
