cell	backend	run	rc	detlog_records	refusal
notsc	ptrace	1	0	96	
notsc	ptrace	2	0	96	
notsc	ptrace	3	0	96	
notsc	ptrace	4	0	96	
notsc	ptrace	5	0	96	
notsc	ptrace	6	0	96	
notsc	ptrace	7	0	96	
notsc	ptrace	8	0	96	
notsc	ptrace	9	0	96	
notsc	ptrace	10	0	96	
notsc	ptrace	11	0	96	
notsc	ptrace	12	0	96	
notsc	ptrace	13	0	96	
notsc	ptrace	14	0	96	
notsc	ptrace	15	0	96	
notsc	ptrace	16	0	96	
notsc	ptrace	17	0	96	
notsc	ptrace	18	0	96	
notsc	ptrace	19	0	96	
notsc	ptrace	20	0	96	
notsc	ptrace	21	0	96	
notsc	ptrace	22	0	96	
notsc	ptrace	23	0	96	
notsc	ptrace	24	0	96	
notsc	ptrace	25	0	96	
notsc	ptrace	26	0	96	
notsc	ptrace	27	0	96	
notsc	ptrace	28	0	96	
notsc	ptrace	29	0	96	
notsc	ptrace	30	0	96	
notsc	kvm	1	0	96	
notsc	kvm	2	0	96	
notsc	kvm	3	0	96	
notsc	kvm	4	0	96	
notsc	kvm	5	0	96	
notsc	kvm	6	0	96	
notsc	kvm	7	0	96	
notsc	kvm	8	0	96	
notsc	kvm	9	0	96	
notsc	kvm	10	0	96	
notsc	kvm	11	0	96	
notsc	kvm	12	0	96	
notsc	kvm	13	0	96	
notsc	kvm	14	0	96	
notsc	kvm	15	0	96	
notsc	kvm	16	0	96	
notsc	kvm	17	0	96	
notsc	kvm	18	0	96	
notsc	kvm	19	0	96	
notsc	kvm	20	0	96	
notsc	kvm	21	0	96	
notsc	kvm	22	0	96	
notsc	kvm	23	0	96	
notsc	kvm	24	0	96	
notsc	kvm	25	0	96	
notsc	kvm	26	0	96	
notsc	kvm	27	0	96	
notsc	kvm	28	0	96	
notsc	kvm	29	0	96	
notsc	kvm	30	0	96	
notsc	liteinst	1	0	832	
notsc	liteinst	2	0	832	
notsc	liteinst	3	0	832	
notsc	liteinst	4	0	832	
notsc	liteinst	5	0	832	
notsc	liteinst	6	0	832	
notsc	liteinst	7	0	832	
notsc	liteinst	8	0	832	
