cell,backend,corpus,guest_source,tier,Z,E,selfdet,selfdet_runs,selfdet_pairs,selfdet_differing_pairs,golden_selfdet,Y_raw,cover_raw,uncovered_raw,inserted_raw,Y_hex,cover_hex,uncovered_hex,inserted_hex,cover_hex_pct,selfdet_distinct_classes,selfdet_class_sizes,inherited,engagement,matrix_sample_selfdet,note
notsc,ptrace,w27-tsc probe,"scratch/w27-tsc/notsc.c, gcc -O0",byte-identical,96,96,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),96,96,0,0,96,96,0,0,100.0,1,30,,reference,,
notsc,kvm,w27-tsc probe,"scratch/w27-tsc/notsc.c, gcc -O0",diverges,96,96,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,40,56,56,9,84,12,12,87.5,1,30,,launching guest through reverie-kvm,,
notsc,dbi,w27-tsc probe,"scratch/w27-tsc/notsc.c, gcc -O0",self-nondeterministic,96,94,30 classes over 30 runs (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),30,435,435,1 class(es) over 30 runs (30),,,,,,,,,,30,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,"Detcore Tool active; running ""./notsc"" under DynamoRIO",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
notsc,sabre,w27-tsc probe,"scratch/w27-tsc/notsc.c, gcc -O0",diverges,96,79,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),4,6,90,73,4,8,88,71,8.3,1,30,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
notsc,e9patch,w27-tsc probe,"scratch/w27-tsc/notsc.c, gcc -O0",not-exercised,96,96,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),,,,,,,,,,1,30,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
notsc,liteinst,w27-tsc probe,"scratch/w27-tsc/notsc.c, gcc -O0",diverges,96,832,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,27,69,805,10,47,49,785,49.0,1,30,,preload_refs=3,,
detlog_syscalls,ptrace,ci-hub/parity pinned reference guest,ci-hub/parity/guests/detlog_syscalls.c,byte-identical,336,336,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),336,336,0,0,336,336,0,0,100.0,1,30,,reference,,
detlog_syscalls,kvm,ci-hub/parity pinned reference guest,ci-hub/parity/guests/detlog_syscalls.c,diverges,336,336,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),6,216,120,120,9,292,44,44,86.9,1,30,,launching guest through reverie-kvm,,
detlog_syscalls,dbi,ci-hub/parity pinned reference guest,ci-hub/parity/guests/detlog_syscalls.c,self-nondeterministic,336,334,30 classes over 30 runs (1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1),30,435,435,1 class(es) over 30 runs (30),,,,,,,,,,30,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,,"Detcore Tool active; running ""./pg/detlog_syscalls"" under Dy",,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
detlog_syscalls,sabre,ci-hub/parity pinned reference guest,ci-hub/parity/guests/detlog_syscalls.c,diverges,336,313,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),4,78,258,235,4,110,226,203,32.7,1,30,,ptrace_fallback_sites=0 trusted_shared_object_sites=0 guest_rpc_observed=true,,
detlog_syscalls,e9patch,ci-hub/parity pinned reference guest,ci-hub/parity/guests/detlog_syscalls.c,not-exercised,336,336,1 class over 30 runs (30),30,435,0,1 class(es) over 30 runs (30),,,,,,,,,,1,30,"INHERITED from the attached ptrace runtime — e9patch is ELF preprocessing, not a backend; its determinism is the ptracer's",candidate_sites=0; mapped_sites=0; b0_sites=0; instruction_map_cache=Hit; rewrite_cache=not-applicable; artifact_sha256=none,,the backend ran but its own witness says it transformed nothing; any agreement here belongs to the fallback path
detlog_syscalls,liteinst,ci-hub/parity pinned reference guest,ci-hub/parity/guests/detlog_syscalls.c,self-nondeterministic,336,1074,2 classes over 30 runs (21|9),30,435,189,1 class(es) over 30 runs (30),,,,,,,,,,2,21|9,,preload_refs=3,,parity WITHHELD: a stream that differs from itself cannot be said to differ from the golden by a definite amount
