cell	backend	run	rc	detlog_records	refusal
notsc	ptrace	1	0	96	
notsc	ptrace	2	0	96	
notsc	ptrace	3	0	96	
notsc	kvm	1	0	96	
notsc	kvm	2	0	96	
notsc	kvm	3	0	96	
notsc	liteinst	1	0	832	
notsc	liteinst	2	0	832	
notsc	liteinst	3	0	832	
notsc	dbi	1	0	94	
notsc	dbi	2	0	94	
notsc	dbi	3	0	94	
notsc	sabre	1	0	79	
notsc	sabre	2	0	79	
notsc	sabre	3	0	79	
notsc	e9patch	1	0	96	
notsc	e9patch	2	0	96	
notsc	e9patch	3	0	96	
detlog_syscalls	ptrace	1	0	336	
detlog_syscalls	ptrace	2	0	336	
detlog_syscalls	ptrace	3	0	336	
detlog_syscalls	kvm	1	0	336	
detlog_syscalls	kvm	2	0	336	
detlog_syscalls	kvm	3	0	336	
detlog_syscalls	liteinst	1	0	1074	
detlog_syscalls	liteinst	2	0	1074	
detlog_syscalls	liteinst	3	0	1074	
detlog_syscalls	dbi	1	0	334	
detlog_syscalls	dbi	2	0	334	
detlog_syscalls	dbi	3	0	334	
detlog_syscalls	sabre	1	0	313	
detlog_syscalls	sabre	2	0	313	
detlog_syscalls	sabre	3	0	313	
detlog_syscalls	e9patch	1	0	336	
detlog_syscalls	e9patch	2	0	336	
detlog_syscalls	e9patch	3	0	336	
heap_fragment_reuse	ptrace	1	0	98	
heap_fragment_reuse	ptrace	2	0	98	
heap_fragment_reuse	ptrace	3	0	98	
heap_fragment_reuse	kvm	1	0	98	
heap_fragment_reuse	kvm	2	0	98	
heap_fragment_reuse	kvm	3	0	98	
heap_fragment_reuse	liteinst	1	0	836	
heap_fragment_reuse	liteinst	2	0	836	
heap_fragment_reuse	liteinst	3	0	836	
heap_fragment_reuse	dbi	1	0	96	
heap_fragment_reuse	dbi	2	0	96	
heap_fragment_reuse	dbi	3	0	96	
heap_fragment_reuse	sabre	1	0	81	
heap_fragment_reuse	sabre	2	0	81	
heap_fragment_reuse	sabre	3	0	81	
heap_fragment_reuse	e9patch	1	0	98	
heap_fragment_reuse	e9patch	2	0	98	
heap_fragment_reuse	e9patch	3	0	98	
stack_deep_recursion	ptrace	1	0	80	
stack_deep_recursion	ptrace	2	0	80	
stack_deep_recursion	ptrace	3	0	80	
stack_deep_recursion	kvm	1	0	80	
stack_deep_recursion	kvm	2	0	80	
stack_deep_recursion	kvm	3	0	80	
stack_deep_recursion	liteinst	1	0	818	
stack_deep_recursion	liteinst	2	0	818	
stack_deep_recursion	liteinst	3	0	818	
stack_deep_recursion	dbi	1	0	78	
stack_deep_recursion	dbi	2	0	78	
stack_deep_recursion	dbi	3	0	78	
stack_deep_recursion	sabre	1	0	63	
stack_deep_recursion	sabre	2	0	63	
stack_deep_recursion	sabre	3	0	63	
stack_deep_recursion	e9patch	1	0	80	
stack_deep_recursion	e9patch	2	0	80	
stack_deep_recursion	e9patch	3	0	80	
stdout_bytes	ptrace	1	0	82	
stdout_bytes	ptrace	2	0	82	
stdout_bytes	ptrace	3	0	82	
stdout_bytes	kvm	1	0	82	
stdout_bytes	kvm	2	0	82	
stdout_bytes	kvm	3	0	82	
stdout_bytes	liteinst	1	0	820	
stdout_bytes	liteinst	2	0	820	
stdout_bytes	liteinst	3	0	820	
stdout_bytes	dbi	1	0	80	
stdout_bytes	dbi	2	0	80	
stdout_bytes	dbi	3	0	80	
stdout_bytes	sabre	1	0	65	
stdout_bytes	sabre	2	0	65	
stdout_bytes	sabre	3	0	65	
stdout_bytes	e9patch	1	0	82	
stdout_bytes	e9patch	2	0	82	
stdout_bytes	e9patch	3	0	82	
bin_true	ptrace	1	0	68	
bin_true	ptrace	2	0	68	
bin_true	ptrace	3	0	68	
bin_true	kvm	1	0	68	
bin_true	kvm	2	0	68	
bin_true	kvm	3	0	68	
bin_true	liteinst	1	0	804	
bin_true	liteinst	2	0	804	
bin_true	liteinst	3	0	804	
bin_true	dbi	1	0	68	
bin_true	dbi	2	0	68	
bin_true	dbi	3	0	68	
bin_true	sabre	1	0	47	
bin_true	sabre	2	0	47	
bin_true	sabre	3	0	47	
bin_true	e9patch	1	0	68	
bin_true	e9patch	2	0	68	
bin_true	e9patch	3	0	68	
bin_echo	ptrace	1	0	84	
bin_echo	ptrace	2	0	84	
bin_echo	ptrace	3	0	84	
bin_echo	kvm	1	0	84	
bin_echo	kvm	2	0	84	
bin_echo	kvm	3	0	84	
bin_echo	liteinst	1	0	814	
bin_echo	liteinst	2	0	814	
bin_echo	liteinst	3	0	814	
bin_echo	dbi	1	0	82	
bin_echo	dbi	2	0	82	
bin_echo	dbi	3	0	82	
bin_echo	sabre	1	0	67	
bin_echo	sabre	2	0	67	
bin_echo	sabre	3	0	67	
bin_echo	e9patch	1	0	84	
bin_echo	e9patch	2	0	84	
bin_echo	e9patch	3	0	84	
