cell	backend	run	rc	detlog_records	mapped_sites	refusal
inline_syscall_sites	ptrace	1	0	78	n/a	
inline_syscall_sites	ptrace	2	0	78	n/a	
inline_syscall_sites	ptrace	3	0	78	n/a	
inline_syscall_sites	ptrace	4	0	78	n/a	
inline_syscall_sites	ptrace	5	0	78	n/a	
inline_syscall_sites	ptrace	6	0	78	n/a	
inline_syscall_sites	ptrace	7	0	78	n/a	
inline_syscall_sites	ptrace	8	0	78	n/a	
inline_syscall_sites	ptrace	9	0	78	n/a	
inline_syscall_sites	ptrace	10	0	78	n/a	
inline_syscall_sites	ptrace	11	0	78	n/a	
inline_syscall_sites	ptrace	12	0	78	n/a	
inline_syscall_sites	ptrace	13	0	78	n/a	
inline_syscall_sites	ptrace	14	0	78	n/a	
inline_syscall_sites	ptrace	15	0	78	n/a	
inline_syscall_sites	ptrace	16	0	78	n/a	
inline_syscall_sites	ptrace	17	0	78	n/a	
inline_syscall_sites	ptrace	18	0	78	n/a	
inline_syscall_sites	ptrace	19	0	78	n/a	
inline_syscall_sites	ptrace	20	0	78	n/a	
inline_syscall_sites	ptrace	21	0	78	n/a	
inline_syscall_sites	ptrace	22	0	78	n/a	
inline_syscall_sites	ptrace	23	0	78	n/a	
inline_syscall_sites	ptrace	24	0	78	n/a	
inline_syscall_sites	ptrace	25	0	78	n/a	
inline_syscall_sites	ptrace	26	0	78	n/a	
inline_syscall_sites	ptrace	27	0	78	n/a	
inline_syscall_sites	ptrace	28	0	78	n/a	
inline_syscall_sites	ptrace	29	0	78	n/a	
inline_syscall_sites	ptrace	30	0	78	n/a	
inline_syscall_sites	kvm	1	0	78	n/a	
inline_syscall_sites	kvm	2	0	78	n/a	
inline_syscall_sites	kvm	3	0	78	n/a	
inline_syscall_sites	kvm	4	0	78	n/a	
inline_syscall_sites	kvm	5	0	78	n/a	
inline_syscall_sites	kvm	6	0	78	n/a	
inline_syscall_sites	kvm	7	0	78	n/a	
inline_syscall_sites	kvm	8	0	78	n/a	
inline_syscall_sites	kvm	9	0	78	n/a	
inline_syscall_sites	kvm	10	0	78	n/a	
inline_syscall_sites	kvm	11	0	78	n/a	
inline_syscall_sites	kvm	12	0	78	n/a	
inline_syscall_sites	kvm	13	0	78	n/a	
inline_syscall_sites	kvm	14	0	78	n/a	
inline_syscall_sites	kvm	15	0	78	n/a	
inline_syscall_sites	kvm	16	0	78	n/a	
inline_syscall_sites	kvm	17	0	78	n/a	
inline_syscall_sites	kvm	18	0	78	n/a	
inline_syscall_sites	kvm	19	0	78	n/a	
inline_syscall_sites	kvm	20	0	78	n/a	
inline_syscall_sites	kvm	21	0	78	n/a	
inline_syscall_sites	kvm	22	0	78	n/a	
inline_syscall_sites	kvm	23	0	78	n/a	
inline_syscall_sites	kvm	24	0	78	n/a	
inline_syscall_sites	kvm	25	0	78	n/a	
inline_syscall_sites	kvm	26	0	78	n/a	
inline_syscall_sites	kvm	27	0	78	n/a	
inline_syscall_sites	kvm	28	0	78	n/a	
inline_syscall_sites	kvm	29	0	78	n/a	
inline_syscall_sites	kvm	30	0	78	n/a	
inline_syscall_sites	dbi	1	0	78	n/a	
inline_syscall_sites	dbi	2	0	78	n/a	
inline_syscall_sites	dbi	3	0	78	n/a	
inline_syscall_sites	dbi	4	0	78	n/a	
inline_syscall_sites	dbi	5	0	78	n/a	
inline_syscall_sites	dbi	6	0	78	n/a	
inline_syscall_sites	dbi	7	0	78	n/a	
inline_syscall_sites	dbi	8	0	78	n/a	
inline_syscall_sites	dbi	9	0	78	n/a	
inline_syscall_sites	dbi	10	0	78	n/a	
inline_syscall_sites	dbi	11	0	78	n/a	
inline_syscall_sites	dbi	12	0	78	n/a	
inline_syscall_sites	dbi	13	0	78	n/a	
inline_syscall_sites	dbi	14	0	78	n/a	
inline_syscall_sites	dbi	15	0	78	n/a	
inline_syscall_sites	dbi	16	0	78	n/a	
inline_syscall_sites	dbi	17	0	78	n/a	
inline_syscall_sites	dbi	18	0	78	n/a	
inline_syscall_sites	dbi	19	0	78	n/a	
inline_syscall_sites	dbi	20	0	78	n/a	
inline_syscall_sites	dbi	21	0	78	n/a	
inline_syscall_sites	dbi	22	0	78	n/a	
inline_syscall_sites	dbi	23	0	78	n/a	
inline_syscall_sites	dbi	24	0	78	n/a	
inline_syscall_sites	dbi	25	0	78	n/a	
inline_syscall_sites	dbi	26	0	78	n/a	
inline_syscall_sites	dbi	27	0	78	n/a	
inline_syscall_sites	dbi	28	0	78	n/a	
inline_syscall_sites	dbi	29	0	78	n/a	
inline_syscall_sites	dbi	30	0	78	n/a	
inline_syscall_sites	sabre	1	0	61	n/a	
inline_syscall_sites	sabre	2	0	61	n/a	
inline_syscall_sites	sabre	3	0	61	n/a	
inline_syscall_sites	sabre	4	0	61	n/a	
inline_syscall_sites	sabre	5	0	61	n/a	
inline_syscall_sites	sabre	6	0	61	n/a	
inline_syscall_sites	sabre	7	0	61	n/a	
inline_syscall_sites	sabre	8	0	61	n/a	
inline_syscall_sites	sabre	9	0	61	n/a	
inline_syscall_sites	sabre	10	0	61	n/a	
inline_syscall_sites	sabre	11	0	61	n/a	
inline_syscall_sites	sabre	12	0	61	n/a	
inline_syscall_sites	sabre	13	0	61	n/a	
inline_syscall_sites	sabre	14	0	61	n/a	
inline_syscall_sites	sabre	15	0	61	n/a	
inline_syscall_sites	sabre	16	0	61	n/a	
inline_syscall_sites	sabre	17	0	61	n/a	
inline_syscall_sites	sabre	18	0	61	n/a	
inline_syscall_sites	sabre	19	0	61	n/a	
inline_syscall_sites	sabre	20	0	61	n/a	
inline_syscall_sites	sabre	21	0	61	n/a	
inline_syscall_sites	sabre	22	0	61	n/a	
inline_syscall_sites	sabre	23	0	61	n/a	
inline_syscall_sites	sabre	24	0	61	n/a	
inline_syscall_sites	sabre	25	0	61	n/a	
inline_syscall_sites	sabre	26	0	61	n/a	
inline_syscall_sites	sabre	27	0	61	n/a	
inline_syscall_sites	sabre	28	0	61	n/a	
inline_syscall_sites	sabre	29	0	61	n/a	
inline_syscall_sites	sabre	30	0	61	n/a	
inline_syscall_sites	e9patch	1	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	2	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	3	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	4	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	5	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	6	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	7	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	8	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	9	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	10	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	11	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	12	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	13	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	14	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	15	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	16	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	17	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	18	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	19	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	20	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	21	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	22	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	23	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	24	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	25	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	26	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	27	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	28	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	29	0	90	mapped_sites=2	
inline_syscall_sites	e9patch	30	0	90	mapped_sites=2	
inline_syscall_sites	liteinst	1	0	822	n/a	
inline_syscall_sites	liteinst	2	0	822	n/a	
inline_syscall_sites	liteinst	3	0	822	n/a	
inline_syscall_sites	liteinst	4	0	822	n/a	
inline_syscall_sites	liteinst	5	0	822	n/a	
inline_syscall_sites	liteinst	6	0	822	n/a	
inline_syscall_sites	liteinst	7	0	822	n/a	
inline_syscall_sites	liteinst	8	0	822	n/a	
inline_syscall_sites	liteinst	9	0	822	n/a	
inline_syscall_sites	liteinst	10	0	822	n/a	
inline_syscall_sites	liteinst	11	0	822	n/a	
inline_syscall_sites	liteinst	12	0	822	n/a	
inline_syscall_sites	liteinst	13	0	822	n/a	
inline_syscall_sites	liteinst	14	0	822	n/a	
inline_syscall_sites	liteinst	15	0	822	n/a	
inline_syscall_sites	liteinst	16	0	822	n/a	
inline_syscall_sites	liteinst	17	0	822	n/a	
inline_syscall_sites	liteinst	18	0	822	n/a	
inline_syscall_sites	liteinst	19	0	822	n/a	
inline_syscall_sites	liteinst	20	0	822	n/a	
inline_syscall_sites	liteinst	21	0	822	n/a	
inline_syscall_sites	liteinst	22	0	822	n/a	
inline_syscall_sites	liteinst	23	0	822	n/a	
inline_syscall_sites	liteinst	24	0	822	n/a	
inline_syscall_sites	liteinst	25	0	822	n/a	
inline_syscall_sites	liteinst	26	0	822	n/a	
inline_syscall_sites	liteinst	27	0	822	n/a	
inline_syscall_sites	liteinst	28	0	822	n/a	
inline_syscall_sites	liteinst	29	0	822	n/a	
inline_syscall_sites	liteinst	30	0	822	n/a	
mixed_inline_and_libc_syscalls	ptrace	1	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	2	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	3	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	4	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	5	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	6	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	7	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	8	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	9	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	10	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	11	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	12	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	13	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	14	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	15	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	16	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	17	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	18	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	19	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	20	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	21	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	22	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	23	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	24	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	25	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	26	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	27	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	28	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	29	0	86	n/a	
mixed_inline_and_libc_syscalls	ptrace	30	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	1	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	2	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	3	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	4	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	5	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	6	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	7	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	8	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	9	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	10	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	11	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	12	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	13	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	14	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	15	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	16	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	17	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	18	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	19	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	20	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	21	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	22	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	23	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	24	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	25	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	26	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	27	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	28	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	29	0	86	n/a	
mixed_inline_and_libc_syscalls	kvm	30	0	86	n/a	
mixed_inline_and_libc_syscalls	dbi	1	0	84	n/a	
mixed_inline_and_libc_syscalls	dbi	2	0	84	n/a	
mixed_inline_and_libc_syscalls	dbi	3	0	84	n/a	
mixed_inline_and_libc_syscalls	dbi	4	0	84	n/a	
mixed_inline_and_libc_syscalls	dbi	5	0	84	n/a	
