run_id,run_utc,hermit_sha,reverie_sha,dirty,run_mode,lane,bucket,test_id,test_mode,backend,cell_state,outcome,deterministic,parity,output_hash,duration_ms,max_rss_kb,reason
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,applications,applications/example-timed-progress-bar,verify,e9patch,expansion,pass,1,1,d8778ce336753d09dab6c6d94699898498ccbc31d6ec6b0b7b3d4bc559745b47,515,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,applications,applications/timed-progress-bar,verify,e9patch,expansion,diverge,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,13,,e9patch-verify-fail-exit1
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,privileged,backend-parity-c,backend-parity-c/cpuid-probe,verify,e9patch,expansion,pass,1,1,86ff9718c1542322ee8165258f455b9774cc88c99e37cc57f30e74283a2d83c0,70,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,backend-parity-c,backend-parity-c/pid-probe,verify,e9patch,expansion,pass,1,1,342cc5c394f2bfe94370f4f30493c870f7877e1dd0646dc7c41af1fc9d14838c,75,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,backend-parity-c,backend-parity-c/pthread-lifecycle,verify,e9patch,expansion,pass,1,1,6f916c392b593c2835823f98adada81a14b81ff8683b4045610a9a1cc0728563,93,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,bin-c,bin-c/posix-timer-test,verify,e9patch,expansion,pass,1,1,73bc36274f961af2a8ad43917d15a87a59ead3cb7c6f54c81db28c45d5395fa1,78,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,bin-c,bin-c/robust-futex-test,verify,e9patch,expansion,timeout,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,120004,,e9patch-verify-timeout-120s
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,chaos-c,chaos-c/lock-granularity,verify,e9patch,expansion,pass,1,1,1cd27b440cf0189a08ed714e62668d8ff37ae183e61d111b8ee14b2759ad2b2d,68,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/acct-refusal-probe,verify,e9patch,expansion,pass,1,1,fb9a253ff29ae72ad120fbe932651dd0471ff759f020fcad04b62895c481980f,74,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/add-key-enosys,verify,e9patch,expansion,pass,1,1,392cdd6f142e243a9db3f8bd6d60cde54e983ffe6d072bf7ea3b03cc297cbf72,79,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/adjtimex-deterministic,verify,e9patch,expansion,pass,1,1,ea6836e27a3d5c63e79076c3c5c976a785aa833022022fc0f2e5361942c6579e,78,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/arch-prctl-determinism,verify,e9patch,expansion,pass,1,1,8504ad2cf53c948ffdd59e277fe87ecf21f65ffa4fb543989366ec9cb40272fd,79,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/bpf-enosys,verify,e9patch,expansion,pass,1,1,00b8c2fc33f814bfeb2da739d302426f0122369289c96bb40f9a11ef86f4befe,80,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/cachestat-enosys,verify,e9patch,expansion,pass,1,1,c99ecc14f33146eb9b4b3c76f1fd310e0b0992a23465df5ce2715ead516e565e,78,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/clock-adjtime-deterministic,verify,e9patch,expansion,pass,1,1,f8df8f96682085b6719931fa985c994642bd388d6849e9c751941db746098343,76,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/clone,verify,e9patch,expansion,pass,1,1,6bed7c4e58faa0f69f82d7af16adcaa45cce6217b25a9cab2b709b1ac60b68de,70,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/copy-file-range-refusal-probe,verify,e9patch,expansion,pass,1,1,eaf5a67ca844e6a832cd95774ecdb4c48e345e2b64e1c67092ad7fb6ac39777a,68,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-copied-tiocgpgrp,verify,e9patch,expansion,pass,1,1,a72cc9796486e612c72fa45a187dc2c1d587ee69e27aaebf4771a60d8a743d79,66,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-exec-failure,verify,e9patch,expansion,pass,1,1,d9255dd9cc061248208ec6fabc39e2695034a2f78b3a79675522090f004de84c,66,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-execveat-unsupported,verify,e9patch,expansion,pass,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,86,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-mmap-exec,verify,e9patch,expansion,pass,1,1,87ef25ed096b64f71e5581bf5d09a9bb24b8dca9402b010322037898b99a81cf,70,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-pid-virtualization,verify,e9patch,expansion,pass,1,1,68abbf5dc13603c0077f0402fe1455224965d0061ec94e7cefd220c41b610f15,160,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-prlimit-self,verify,e9patch,expansion,pass,1,1,b5d0a733abb9b3694c70cc548fbd236ede0f60c1e06673b4e4999419c7721e12,82,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-self-sigqueue,verify,e9patch,expansion,pass,1,1,f4c3bb314cd68d7f8c7e053c24257d5eaf5369087b8c21ee95fd29727f460537,82,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-unsupported-syscall,verify,e9patch,expansion,pass,1,1,0dc9033cbe9bbe736c2e2105dd9ddb6f7c68ffe47d4146ffdb3e0e2f4a990531,72,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/dbi-wait-lifecycle,verify,e9patch,expansion,pass,1,1,8b2dc7afefe0de8a206779cafaa728f8589221319ecd6040f8721c0895618a65,81,,
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/epoll-determinism,verify,e9patch,expansion,diverge,0,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,45,,e9patch-verify-fail-exit1
fullcorpus,@1785675836,c7531a837a65d388707e3b14642a6ba36b660267,ef5ffebccb7e4bfd0e82a2bc7bc703c2ed6212a4,false,expansion,portable,c-programs,c-programs/fp-reduction-nondeterminism,verify,e9patch,expansion,pass,1,1,14e2bd92d74bd578c2f3968692ed94951fc432c8a0eb79cb59bf437fbd987598,194,,
