population,guest,compile_flags,syscall_insn,cpuid_insn,other_insn,static_candidate_sites,banner_candidate_sites,banner_mapped_sites,reach_state,ran_under_hermit
A-dedicated-freestanding,A-clock_gettime,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-compute,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-dup3_high,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-fcntl_cloexec,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-fd_lowest_free,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-fd_open_number,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-getpid_check,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-getrandom,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-loop_write,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-minimal_exit,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-mmap_anon,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-multi_site,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",3,0,0,3,3,3,e9patch-exercised,yes
A-dedicated-freestanding,A-nanosleep,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-pipe_fds,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-proc_self_fd_count,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-readlink_exe,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-sigmask,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-uname,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-write_stdout,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
A-dedicated-freestanding,A-writev_multi,"-nostdlib -static -ffreestanding -O0 -fno-pie -no-pie",1,0,0,1,1,1,e9patch-exercised,yes
B-shared-fullcorpus,B-acct_refusal_probe,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-add_key_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-adjtimex_deterministic,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-arch_prctl_determinism,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,1,0,1,1,1,e9patch-exercised,yes
B-shared-fullcorpus,B-bpf_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-cachestat_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-clock_adjtime_deterministic,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-copy_file_range_refusal_probe,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-cpuid_probe,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,2,0,2,2,2,e9patch-exercised,yes
B-shared-fullcorpus,B-dbi_copied_tiocgpgrp,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-dbi_execveat_unsupported,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-dbi_mmap_exec,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-dbi_pid_virtualization,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-dbi_self_sigqueue,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-dbi_unsupported_syscall,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-debuggee,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-fork_tree,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-futex_requeue_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-futex_waitv_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-futex_wake_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-getitimer_determinism_probe,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-getpid,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-get_robust_list_child,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-get_robust_list_self,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-get_robust_list_thread,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-getsockopt_null,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-ioctl_fioclex,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-kcmp_eperm,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-keyctl_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-keyctl_passthrough,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
B-shared-fullcorpus,B-listmount_enosys,"cc -std=c11 -O2 -g -Wall -Wextra -Werror",0,0,0,0,,,vacuous-predicted-static,no
