guest,backend,rc1,rc2,sd_out,sd_pev,sd_log,vrc,vjson,px_out,px_pev,px_tree,n_pev,turns,tree,note
forkwait_ordered,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,46,46,"[3 [5] [7] [9] [11]]",
forkwait_ordered,e9patch,0,0,1,1,1,0,True/matched,1,1,1,46,46,"[3 [5] [7] [9] [11]]",
forkwait_any,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,57,45,"[3 [5] [7] [9] [11] [13]]",
forkwait_any,e9patch,0,0,1,1,1,0,True/matched,1,1,1,57,45,"[3 [5] [7] [9] [11] [13]]",
forkwait_any_wide,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,118,86,"[3 [5] [7] [9] [11] [13] [15] [17] [19] [21] [23] [25] [27]]",
forkwait_any_wide,e9patch,0,0,1,1,1,0,True/matched,1,1,1,118,86,"[3 [5] [7] [9] [11] [13] [15] [17] [19] [21] [23] [25] [27]]",
zombie_delay,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,46,38,"[3 [5] [7] [9] [11]]",
zombie_delay,e9patch,0,0,1,1,1,0,True/matched,1,1,1,46,38,"[3 [5] [7] [9] [11]]",
orphan_reparent,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,28,29,"[3 [5 [7]]]",
orphan_reparent,e9patch,0,0,1,1,1,0,True/matched,1,1,1,28,29,"[3 [5 [7]]]",
exec_chain,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,55,90,"[3 [5 [7 [9]]]]",
exec_chain,e9patch,0,0,1,1,1,0,True/matched,1,1,1,55,90,"[3 [5 [7 [9]]]]",
vfork_exec,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,34,50,"[3 [5] [7]]",
vfork_exec,e9patch,0,0,1,1,1,0,True/matched,1,1,1,34,50,"[3 [5] [7]]",
spawn_wait,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,46,71,"[3 [5] [7] [9]]",
spawn_wait,e9patch,0,0,1,1,1,0,True/matched,1,1,1,46,71,"[3 [5] [7] [9]]",
fork_pipe,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,46,43,"[3 [5] [7] [9] [11]]",
fork_pipe,e9patch,0,0,1,1,1,0,True/matched,1,1,1,46,43,"[3 [5] [7] [9] [11]]",
sh_pipeline,ptrace,0,0,1,1,0,1,False/diverged,ref,ref,ref,178,215,"[3 [5] [7] [9] [11] [13] [15] [17] [19] [21] [23]]",
sh_pipeline,e9patch,0,0,1,1,0,1,False/diverged,1,1,1,178,215,"[3 [5] [7] [9] [11] [13] [15] [17] [19] [21] [23]]",
sh_seqtree,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,174,185,"[3 [5] [7] [9] [11] [13] [15] [17] [19]]",
sh_seqtree,e9patch,0,0,1,1,1,0,True/matched,1,1,1,174,185,"[3 [5] [7] [9] [11] [13] [15] [17] [19]]",
sh_nested,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,146,156,"[3 [5 [7 [9]]] [11]]",
sh_nested,e9patch,0,0,1,1,1,0,True/matched,1,1,1,146,156,"[3 [5 [7 [9]]] [11]]",
sh_bgjobs,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,92,96,"[3 [5] [7] [9] [11]]",
sh_bgjobs,e9patch,0,0,1,1,1,0,True/matched,1,1,1,92,96,"[3 [5] [7] [9] [11]]",
make_j1,ptrace,0,0,1,1,1,0,True/matched,ref,ref,ref,46,67,"[3 [5] [7] [9]]",
make_j1,e9patch,0,0,1,1,1,0,True/matched,1,1,1,46,67,"[3 [5] [7] [9]]",
