experiment,regime,arm,n,threads,rep,wall_s,rc,note
calib,k1,helper,0,-,1,0.434,0,fixed-cost-of-the-core-box-helper
calib,par,helper,0,-,1,0.413,0,fixed-cost-of-the-core-box-helper
calib,k1,helper,0,-,2,0.418,0,fixed-cost-of-the-core-box-helper
calib,par,helper,0,-,2,0.410,0,fixed-cost-of-the-core-box-helper
calib,k1,helper,0,-,3,0.409,0,fixed-cost-of-the-core-box-helper
calib,par,helper,0,-,3,0.421,0,fixed-cost-of-the-core-box-helper
calib,k1,helper,0,-,4,0.412,0,fixed-cost-of-the-core-box-helper
calib,par,helper,0,-,4,0.417,0,fixed-cost-of-the-core-box-helper
calib,k1,helper,0,-,5,0.411,0,fixed-cost-of-the-core-box-helper
calib,par,helper,0,-,5,0.405,0,fixed-cost-of-the-core-box-helper
exp1,k1,hermit-kvm,100000,-,1,300.055,124,TIMEOUT-300s-no-result
exp1,k1,hermit-kvm,300000,-,1,300.059,124,TIMEOUT-300s-no-result
exp1,k1,native,100000,-,1,0.418,0,
exp1,k1,native,300000,-,1,0.440,0,
exp1,k1,runsc-systrap,100000,-,1,1.332,0,
exp1,k1,runsc-systrap,300000,-,1,2.919,0,
exp1,k1,runsc-ptrace,100000,-,1,1.582,0,
exp1,k1,runsc-ptrace,300000,-,1,4.395,0,
exp1,k1,runsc-kvm,100000,-,1,0.862,0,
exp1,k1,runsc-kvm,300000,-,1,1.013,0,
exp1,k1,hermit-ptrace,100000,-,1,4.270,0,
exp1,k1,hermit-ptrace,300000,-,1,11.996,0,
exp1,k1,hermit-dbi,100000,-,1,0.744,0,
exp1,k1,hermit-dbi,300000,-,1,0.939,0,
exp1,k1,hermit-sabre,100000,-,1,6.091,0,
exp1,k1,hermit-sabre,300000,-,1,17.505,0,
exp1,k1,hermit-liteinst,100000,-,1,80.586,0,
exp1,k1,hermit-liteinst,300000,-,1,31.264,0,
exp1,k1,hermit-e9patch,100000,-,1,4.707,0,
exp1,k1,hermit-e9patch,300000,-,1,12.108,0,
exp1,k1,native,100000,-,2,0.441,0,
exp1,k1,native,300000,-,2,0.701,0,
exp1,k1,runsc-systrap,100000,-,2,1.402,0,
exp1,k1,runsc-systrap,300000,-,2,2.756,0,
exp1,k1,runsc-ptrace,100000,-,2,1.808,0,
exp1,k1,runsc-ptrace,300000,-,2,3.493,0,
exp1,k1,runsc-kvm,100000,-,2,1.005,0,
exp1,k1,runsc-kvm,300000,-,2,1.394,0,
exp1,k1,hermit-ptrace,100000,-,2,4.240,0,
exp1,k1,hermit-ptrace,300000,-,2,12.315,0,
exp1,k1,hermit-dbi,100000,-,2,0.629,0,
exp1,k1,hermit-dbi,300000,-,2,0.930,0,
exp1,k1,hermit-sabre,100000,-,2,6.117,0,
exp1,k1,hermit-sabre,300000,-,2,17.449,0,
exp1,k1,hermit-liteinst,100000,-,2,69.182,0,
exp1,k1,hermit-liteinst,300000,-,2,171.069,0,
exp1,k1,hermit-e9patch,100000,-,2,4.236,0,
exp1,k1,hermit-e9patch,300000,-,2,12.159,0,
exp1,k1,native,100000,-,3,0.425,0,
exp1,k1,native,300000,-,3,0.469,0,
exp1,k1,runsc-systrap,100000,-,3,1.364,0,
exp1,k1,runsc-systrap,300000,-,3,2.559,0,
exp1,k1,runsc-ptrace,100000,-,3,1.551,0,
exp1,k1,runsc-ptrace,300000,-,3,4.284,0,
exp1,k1,runsc-kvm,100000,-,3,0.803,0,
exp1,k1,runsc-kvm,300000,-,3,0.967,0,
exp1,k1,hermit-ptrace,100000,-,3,4.328,0,
exp1,k1,hermit-ptrace,300000,-,3,12.302,0,
exp1,k1,hermit-dbi,100000,-,3,0.628,0,
exp1,k1,hermit-dbi,300000,-,3,0.942,0,
exp1,k1,hermit-sabre,100000,-,3,5.889,0,
exp1,k1,hermit-sabre,300000,-,3,17.294,0,
exp1,k1,hermit-liteinst,100000,-,3,9.348,0,
exp1,k1,hermit-liteinst,300000,-,3,38.992,0,
exp1,k1,hermit-e9patch,100000,-,3,4.268,0,
exp1,k1,hermit-e9patch,300000,-,3,12.248,0,
exp1,k1,native,100000,-,4,0.420,0,
exp1,k1,native,300000,-,4,0.449,0,
exp1,k1,runsc-systrap,100000,-,4,1.274,0,
exp1,k1,runsc-systrap,300000,-,4,2.521,0,
exp1,k1,runsc-ptrace,100000,-,4,1.551,0,
exp1,k1,runsc-ptrace,300000,-,4,3.294,0,
exp1,k1,runsc-kvm,100000,-,4,0.817,0,
exp1,k1,runsc-kvm,300000,-,4,1.005,0,
exp1,k1,hermit-ptrace,100000,-,4,4.315,0,
exp1,k1,hermit-ptrace,300000,-,4,12.254,0,
exp1,k1,hermit-dbi,100000,-,4,0.632,0,
exp1,k1,hermit-dbi,300000,-,4,0.946,0,
exp1,k1,hermit-sabre,100000,-,4,5.993,0,
exp1,k1,hermit-sabre,300000,-,4,17.206,0,
exp1,k1,hermit-liteinst,100000,-,4,9.818,0,
exp1,k1,hermit-liteinst,300000,-,4,27.752,0,
exp1,k1,hermit-e9patch,100000,-,4,4.354,0,
exp1,k1,hermit-e9patch,300000,-,4,24.385,0,
exp1,k1,native,100000,-,5,0.427,0,
exp1,k1,native,300000,-,5,0.438,0,
exp1,k1,runsc-systrap,100000,-,5,1.291,0,
exp1,k1,runsc-systrap,300000,-,5,2.485,0,
