experiment,regime,arm,n,threads,rep,wall_s,rc,note
exp1,k1,native,100000,-,1,0.427,0,
exp1,k1,native,300000,-,1,0.443,0,
exp1,k1,runsc-systrap,100000,-,1,1.420,0,
exp1,k1,runsc-systrap,300000,-,1,2.712,0,
exp1,k1,runsc-ptrace,100000,-,1,2.083,0,
exp1,k1,runsc-ptrace,300000,-,1,3.542,0,
exp1,k1,runsc-kvm,100000,-,1,1.566,0,
exp1,k1,runsc-kvm,300000,-,1,1.496,0,
exp1,k1,hermit-ptrace,100000,-,1,4.456,0,
exp1,k1,hermit-ptrace,300000,-,1,19.066,0,
exp1,k1,hermit-dbi,100000,-,1,0.662,0,
exp1,k1,hermit-dbi,300000,-,1,1.583,0,
exp1,k1,hermit-sabre,100000,-,1,6.285,0,
exp1,k1,hermit-sabre,300000,-,1,17.973,0,
exp1,k1,hermit-liteinst,100000,-,1,9.978,0,
exp1,k1,hermit-liteinst,300000,-,1,29.019,0,
exp1,k1,hermit-e9patch,100000,-,1,4.396,0,
exp1,k1,hermit-e9patch,300000,-,1,12.301,0,
exp1,k1,hermit-kvm,100000,-,1,60.062,124,TIMEOUT-60s-no-result
exp1,k1,hermit-kvm,300000,-,1,60.061,124,TIMEOUT-60s-no-result
exp2,k1,native,200000,4,1,0.425,0,
exp2,par,native,200000,4,1,0.010,0,
exp2,k1,runsc-systrap,200000,4,1,1.516,0,
exp2,par,runsc-systrap,200000,4,1,0.522,0,
exp2,k1,runsc-ptrace,200000,4,1,2.473,0,
exp2,par,runsc-ptrace,200000,4,1,1.313,0,
exp2,k1,runsc-kvm,200000,4,1,1.743,0,
exp2,par,runsc-kvm,200000,4,1,1.274,0,
exp2,k1,hermit-ptrace,200000,4,1,8.195,0,
exp2,par,hermit-ptrace,200000,4,1,8.107,0,
exp2,k1,hermit-dbi,200000,4,1,0.837,0,
