probe,variant,so_sha8,N,rep,user_s,sys_s,cpu_s,direct_hook,ptrace_installation
aff,A,4b5e1ffe,100000,2,0.07,0.09,0.16,100001,0
aff,A,4b5e1ffe,100000,3,0.06,0.1,0.16,100001,0
aff,A,4b5e1ffe,100000,4,0.06,0.1,0.16,100001,0
aff,A,4b5e1ffe,100000,5,0.06,0.09,0.15,100001,0
aff,A,4b5e1ffe,100000,6,0.06,0.1,0.16,100001,0
aff,A,4b5e1ffe,2000000,2,1.21,0.43,1.64,2000001,0
aff,A,4b5e1ffe,2000000,3,1.25,0.5,1.75,2000001,0
aff,A,4b5e1ffe,2000000,4,1.24,0.4,1.64,2000001,0
aff,A,4b5e1ffe,2000000,5,1.27,0.38,1.65,2000001,0
aff,A,4b5e1ffe,2000000,6,1.26,0.48,1.74,2000001,0
aff,D,2c1af97c,100000,2,0.28,0.11,0.39,100001,0
aff,D,2c1af97c,100000,3,0.28,0.11,0.39,100001,0
aff,D,2c1af97c,100000,4,0.27,0.12,0.39,100001,0
aff,D,2c1af97c,100000,5,0.29,0.11,0.4,100001,0
aff,D,2c1af97c,100000,6,0.28,0.11,0.39,100001,0
aff,D,2c1af97c,2000000,2,5.5,1.79,7.29,2000001,0
aff,D,2c1af97c,2000000,3,5.33,0.53,5.86,2000001,0
aff,D,2c1af97c,2000000,4,5.4,0.51,5.91,2000001,0
aff,D,2c1af97c,2000000,5,5.2,0.5,5.7,2000001,0
aff,D,2c1af97c,2000000,6,5.33,0.57,5.9,2000001,0
aff,native,-,100000,2,0.0,0.01,0.01,-,-
aff,native,-,100000,3,0.0,0.01,0.01,-,-
aff,native,-,100000,4,0.0,0.0,0.0,-,-
aff,native,-,100000,5,0.0,0.0,0.0,-,-
aff,native,-,100000,6,0.0,0.0,0.0,-,-
aff,native,-,2000000,2,0.05,0.13,0.18,-,-
aff,native,-,2000000,3,0.06,0.12,0.18,-,-
aff,native,-,2000000,4,0.05,0.13,0.18,-,-
aff,native,-,2000000,5,0.04,0.14,0.18,-,-
aff,native,-,2000000,6,0.05,0.13,0.18,-,-
getcpu2,A,4b5e1ffe,100000,2,0.07,0.08,0.15,100001,0
getcpu2,A,4b5e1ffe,100000,3,0.09,0.13,0.22,100001,0
getcpu2,A,4b5e1ffe,100000,4,0.07,0.14,0.21,100001,0
getcpu2,A,4b5e1ffe,100000,5,0.07,0.14,0.21,100001,0
getcpu2,A,4b5e1ffe,100000,6,0.08,0.13,0.21,100001,0
getcpu2,A,4b5e1ffe,2000000,2,1.44,0.52,1.96,2000001,0
getcpu2,A,4b5e1ffe,2000000,3,1.42,0.55,1.97,2000001,0
getcpu2,A,4b5e1ffe,2000000,4,1.43,0.55,1.98,2000001,0
getcpu2,A,4b5e1ffe,2000000,5,1.42,0.56,1.98,2000001,0
getcpu2,A,4b5e1ffe,2000000,6,1.47,0.51,1.98,2000001,0
getcpu2,B,4e834026,100000,2,0.08,0.14,0.22,100001,0
getcpu2,B,4e834026,100000,3,0.08,0.14,0.22,100001,0
getcpu2,B,4e834026,100000,4,0.08,0.14,0.22,100001,0
getcpu2,B,4e834026,100000,5,0.07,0.14,0.21,100001,0
getcpu2,B,4e834026,100000,6,0.08,0.14,0.22,100001,0
getcpu2,B,4e834026,2000000,2,1.49,0.53,2.02,2000001,0
getcpu2,B,4e834026,2000000,3,1.48,0.54,2.02,2000001,0
