guest,backend,ttycfg,exit_A,exit_B,reps,sha_A,sha_B,bytes_A,double_run,detlog_parity_AB,detlog_msgs,logfile_written,verify_rc,verify_saw_tty
probe,ptrace,pipe,0,0,3,3748a6d7c3a2d46f,3748a6d7c3a2d46f,703,SAME,same,172,yes,0,
probe,ptrace,pty24x80,0,0,3,764ad0d7b800b201,764ad0d7b800b201,1258,SAME,same,2117,yes,0,
probe,ptrace,pty40x120,0,0,3,e41ed16f825b5c27,e41ed16f825b5c27,1262,SAME,same,2117,yes,0,
probe,ptrace,pty50x200,0,0,3,d502b60d98bd47b6,d502b60d98bd47b6,1262,SAME,same,2117,yes,0,
probe,dbi,pipe,0,0,3,092cd5677ff6ce39,7a1682555aac90a0,700,DIFF,nolog,,NO,0,
probe,dbi,pty24x80,0,0,3,f59a4b6158977598,cc7ad07019a22d23,1278,DIFF,nolog,,NO,0,
probe,dbi,pty40x120,0,0,3,096c753373cc6059,76978e6cd728c0a4,1282,DIFF,nolog,,NO,0,
probe,dbi,pty50x200,0,0,3,374cdec4ccb190ac,b22eb379310b3a87,1282,DIFF,nolog,,NO,0,
probe,sabre,pipe,0,0,3,3748a6d7c3a2d46f,3748a6d7c3a2d46f,703,SAME,same,6,yes,0,
probe,sabre,pty24x80,0,0,3,764ad0d7b800b201,764ad0d7b800b201,1258,SAME,same,15,yes,0,
probe,sabre,pty40x120,0,0,3,e41ed16f825b5c27,e41ed16f825b5c27,1262,SAME,same,15,yes,0,
probe,sabre,pty50x200,0,0,3,d502b60d98bd47b6,d502b60d98bd47b6,1262,SAME,same,15,yes,0,
winsz-branch,ptrace,pipe,70,70,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,120,yes,70,no
winsz-branch,ptrace,pty24x80,80,80,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,120,yes,70,no
winsz-branch,ptrace,pty40x120,120,120,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,120,yes,70,no
winsz-branch,ptrace,pty50x200,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,120,yes,70,no
winsz-branch,dbi,pipe,70,70,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,70,no
winsz-branch,dbi,pty24x80,80,80,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,70,no
winsz-branch,dbi,pty40x120,120,120,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,70,no
winsz-branch,dbi,pty50x200,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,70,no
winsz-branch,sabre,pipe,70,70,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,4,yes,70,no
winsz-branch,sabre,pty24x80,80,80,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,4,yes,70,no
winsz-branch,sabre,pty40x120,120,120,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,4,yes,70,no
winsz-branch,sabre,pty50x200,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,4,yes,70,no
winsz-silent,ptrace,pipe,70,70,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,120,yes,70,no
winsz-silent,ptrace,pty24x80,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,120,yes,70,no
winsz-silent,ptrace,pty40x120,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,120,yes,70,no
winsz-silent,ptrace,pty50x200,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,120,yes,70,no
winsz-silent,dbi,pipe,70,70,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,70,no
winsz-silent,dbi,pty24x80,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,70,no
winsz-silent,dbi,pty40x120,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,70,no
winsz-silent,dbi,pty50x200,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,70,no
winsz-silent,sabre,pipe,70,70,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,4,yes,70,no
winsz-silent,sabre,pty24x80,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,4,yes,70,no
winsz-silent,sabre,pty40x120,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,4,yes,70,no
winsz-silent,sabre,pty50x200,0,0,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,4,yes,70,no
ls-C,ptrace,pipe,0,0,3,66e54070ffc254ab,66e54070ffc254ab,4457,SAME,same,432,yes,0,
ls-C,ptrace,pty24x80,0,0,3,66e54070ffc254ab,66e54070ffc254ab,4457,SAME,same,1503,yes,0,
ls-C,ptrace,pty40x120,0,0,3,d9dd4f1403b936d8,d9dd4f1403b936d8,5851,SAME,same,786,yes,0,
ls-C,ptrace,pty50x200,0,0,3,395b425bfe489023,395b425bfe489023,5762,SAME,same,642,yes,0,
ls-C,dbi,pipe,0,0,3,66e54070ffc254ab,66e54070ffc254ab,4457,SAME,nolog,,NO,0,
ls-C,dbi,pty24x80,0,0,3,66e54070ffc254ab,66e54070ffc254ab,4457,SAME,nolog,,NO,0,
ls-C,dbi,pty40x120,0,0,3,d9dd4f1403b936d8,d9dd4f1403b936d8,5851,SAME,nolog,,NO,0,
ls-C,dbi,pty50x200,0,0,3,395b425bfe489023,395b425bfe489023,5762,SAME,nolog,,NO,0,
ls-C,sabre,pipe,0,0,3,66e54070ffc254ab,66e54070ffc254ab,4457,SAME,same,36,yes,0,
ls-C,sabre,pty24x80,0,0,3,66e54070ffc254ab,66e54070ffc254ab,4457,SAME,same,393,yes,0,
ls-C,sabre,pty40x120,0,0,3,d9dd4f1403b936d8,d9dd4f1403b936d8,5851,SAME,same,154,yes,0,
ls-C,sabre,pty50x200,0,0,3,395b425bfe489023,395b425bfe489023,5762,SAME,same,106,yes,0,
stty-a,ptrace,pipe,1,1,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,same,360,yes,1,
stty-a,ptrace,pty24x80,0,0,3,85cf454bada9dbe5,85cf454bada9dbe5,619,SAME,same,360,yes,1,
stty-a,ptrace,pty40x120,0,0,3,5937be738f397ea1,5937be738f397ea1,620,SAME,same,351,yes,1,
stty-a,ptrace,pty50x200,0,0,3,3f5323f96f1bcef6,3f5323f96f1bcef6,620,SAME,same,351,yes,1,
stty-a,dbi,pipe,1,1,3,e3b0c44298fc1c14,e3b0c44298fc1c14,0,SAME,nolog,,NO,1,
stty-a,dbi,pty24x80,0,0,3,85cf454bada9dbe5,85cf454bada9dbe5,619,SAME,nolog,,NO,0,
