backend,host_termios,iflag,oflag,cflag,lflag
ptrace,default,00000500,00000005,000000bf,00008a3b
ptrace,raw-noecho,00000500,00000005,000000bf,00008a30
ptrace,b9600-vmin3,00000500,00000005,000000bd,00008a3b
dbi,default,00000500,00000005,000000bf,00008a3b
dbi,raw-noecho,00000500,00000005,000000bf,00008a30
dbi,b9600-vmin3,00000500,00000005,000000bd,00008a3b
sabre,default,00000500,00000005,000000bf,00008a3b
sabre,raw-noecho,00000500,00000005,000000bf,00008a30
sabre,b9600-vmin3,00000500,00000005,000000bd,00008a3b
NATIVE-control,default,00000500,00000005,000000bf,00008a3b
NATIVE-control,raw-noecho,00000500,00000005,000000bf,00008a30
NATIVE-control,b9600-vmin3,00000500,00000005,000000bd,00008a3b
