% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.77    5.102214        2111      2416       189 futex
  0.36    0.018664          19       980       488 sched_getaffinity
  0.19    0.009630           6      1526           mmap
  0.17    0.008713          35       243           clone3
  0.15    0.007821           7      1101           mprotect
  0.09    0.004806          19       242           prctl
  0.07    0.003544           2      1471           rt_sigprocmask
  0.06    0.002999          21       139           munmap
  0.03    0.001434          13       110        55 openat
  0.02    0.001288           5       244           rseq
  0.02    0.001268           1       947           read
  0.02    0.000849           3       244           set_robust_list
  0.02    0.000828           0       896           lseek
  0.01    0.000389           1       244           gettid
  0.01    0.000346         346         1           execve
  0.00    0.000203           4        45         7 stat
  0.00    0.000172           3        55           close
  0.00    0.000153           4        32        30 newfstatat
  0.00    0.000102           2        36           sched_yield
  0.00    0.000089           0        94        92 readlink
  0.00    0.000088           1        57           fstat
  0.00    0.000042          42         1           unlink
  0.00    0.000039           9         4           madvise
  0.00    0.000037           3        10           write
  0.00    0.000036          36         1           connect
  0.00    0.000024           0        25           rt_sigaction
  0.00    0.000014           7         2           ftruncate
  0.00    0.000010          10         1           poll
  0.00    0.000010           1         8           prlimit64
  0.00    0.000008           1         6           getdents64
  0.00    0.000007           2         3           brk
  0.00    0.000007           2         3         2 access
  0.00    0.000006           3         2           getcwd
  0.00    0.000005           1         4           pread64
  0.00    0.000005           5         1           recvmsg
  0.00    0.000005           1         4           fchdir
  0.00    0.000004           4         1           sendto
  0.00    0.000004           2         2         1 arch_prctl
  0.00    0.000003           3         1           socket
  0.00    0.000003           0         4           fcntl
  0.00    0.000003           3         1         1 mkdir
  0.00    0.000003           3         1           getuid
  0.00    0.000003           0         4           geteuid
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           clock_getres
  0.00    0.000002           2         1           getrandom
  0.00    0.000001           1         1           lstat
  0.00    0.000000           0         1           rt_sigreturn
  0.00    0.000000           0         2           getpid
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           sysinfo
------ ----------- ----------- --------- --------- ------------------
100.00    5.165885         460     11221       865 total
