% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.77    5.951228        1003      5928       413 futex
  0.31    0.018680          18       984       490 sched_getaffinity
  0.18    0.010561           8      1216           mprotect
  0.16    0.009383           6      1535           mmap
  0.15    0.009119          37       244           clone3
  0.08    0.004696          19       243           prctl
  0.07    0.004242           3      1282           read
  0.07    0.004022           2      1479           rt_sigprocmask
  0.04    0.002446          18       132           munmap
  0.03    0.001891           1      1220           lseek
  0.03    0.001688          14       116        55 openat
  0.02    0.001452           5       245           rseq
  0.02    0.001053           4       245           set_robust_list
  0.02    0.000996          15        65           sendto
  0.01    0.000741          11        65           recvfrom
  0.01    0.000492          13        36           sched_yield
  0.01    0.000430         430         1           execve
  0.01    0.000395           1       245           gettid
  0.01    0.000318           4        66           close
  0.00    0.000250           2       105       103 readlink
  0.00    0.000218         109         2           poll
  0.00    0.000131           2        49         7 stat
  0.00    0.000122           3        32        30 newfstatat
  0.00    0.000120           1        64           fstat
  0.00    0.000102          34         3           dup2
  0.00    0.000080          16         5           madvise
  0.00    0.000070          11         6           getdents64
  0.00    0.000063          63         1           unlink
  0.00    0.000055          27         2           connect
  0.00    0.000053           5        10           write
  0.00    0.000046          11         4           socket
  0.00    0.000033           1        25           rt_sigaction
  0.00    0.000027           9         3           setsockopt
  0.00    0.000018           9         2           ftruncate
  0.00    0.000016          16         1           socketpair
  0.00    0.000016           2         8           fcntl
  0.00    0.000014           1         8           prlimit64
  0.00    0.000010          10         1           shutdown
  0.00    0.000008           2         3         2 access
  0.00    0.000006           2         3           brk
  0.00    0.000006           1         4           pread64
  0.00    0.000006           6         1           recvmsg
  0.00    0.000006           6         1           sysinfo
  0.00    0.000006           1         4           geteuid
  0.00    0.000005           1         3         1 getsockname
  0.00    0.000005           1         4           fchdir
  0.00    0.000004           2         2           getcwd
  0.00    0.000003           3         1         1 mkdir
  0.00    0.000002           2         1           lstat
  0.00    0.000002           1         2         1 arch_prctl
  0.00    0.000002           2         1           clock_getres
  0.00    0.000001           0         2           rt_sigreturn
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           set_tid_address
  0.00    0.000001           1         1           getrandom
  0.00    0.000000           0         2           getpid
  0.00    0.000000           0         1           accept
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           uname
------ ----------- ----------- --------- --------- ------------------
100.00    6.025342         383     15719      1103 total
