id	program	build	pt_exit	kvm_exit	pt_out	kvm_out	parity	verdict
backend-parity-c/cpuid-probe	tests/backend-parity/fixtures/cpuid_probe.c	ok	0	0	86ff9718c154	86ff9718c154	true	PARITY
backend-parity-c/pid-probe	tests/backend-parity/fixtures/pid_probe.c	ok	0	0	342cc5c394f2	ec5ac632e3b1	false	DIFF
backend-parity-c/pthread-lifecycle	tests/backend-parity/fixtures/pthread_lifecycle.c	ok	0	0	6f916c392b59	6f916c392b59	true	PARITY
bin-c/posix-timer-test	tests/bin/posix_timer_test.c	ok	0	1	73bc36274f96	e3b0c44298fc	false	DIFF
bin-c/robust-futex-test	tests/bin/robust_futex_test.c	ok	124	124	e3b0c44298fc	e3b0c44298fc	false	DIFF
chaos-c/lock-granularity	tests/chaos/lock_granularity.c	ok	0	0	1cd27b440cf0	1cd27b440cf0	true	PARITY
c-programs/acct-refusal-probe	tests/c/acct_refusal_probe.c	ok	0	0	fb9a253ff29a	fb9a253ff29a	true	PARITY
c-programs/add-key-enosys	tests/c/add_key_enosys.c	ok	0	0	392cdd6f142e	392cdd6f142e	true	PARITY
c-programs/adjtimex-deterministic	tests/c/adjtimex_deterministic.c	ok	0	0	ea6836e27a3d	ea6836e27a3d	true	PARITY
c-programs/arch-prctl-determinism	tests/c/arch_prctl_determinism.c	ok	0	0	8504ad2cf53c	8504ad2cf53c	true	PARITY
c-programs/bpf-enosys	tests/c/bpf_enosys.c	ok	0	0	00b8c2fc33f8	00b8c2fc33f8	true	PARITY
c-programs/cachestat-enosys	tests/c/cachestat_enosys.c	ok	0	0	c99ecc14f331	c99ecc14f331	true	PARITY
c-programs/clock-adjtime-deterministic	tests/c/clock_adjtime_deterministic.c	ok	0	0	f8df8f966820	f8df8f966820	true	PARITY
c-programs/clone	tests/c/clone.c	ok	0	1	6bed7c4e58fa	e3b0c44298fc	false	DIFF
c-programs/copy-file-range-refusal-probe	tests/c/copy_file_range_refusal_probe.c	ok	0	0	eaf5a67ca844	eaf5a67ca844	true	PARITY
c-programs/dbi-copied-tiocgpgrp	tests/c/dbi_copied_tiocgpgrp.c	ok	0	0	a72cc9796486	a72cc9796486	true	PARITY
c-programs/dbi-exec-failure	tests/c/dbi_exec_failure.c	ok	0	0	d9255dd9cc06	d9255dd9cc06	true	PARITY
c-programs/dbi-execveat-unsupported	tests/c/dbi_execveat_unsupported.c	ok	0	0	e3b0c44298fc	e3b0c44298fc	true	PARITY
c-programs/dbi-mmap-exec	tests/c/dbi_mmap_exec.c	ok	0	0	87ef25ed096b	87ef25ed096b	true	PARITY
c-programs/dbi-pid-virtualization	tests/c/dbi_pid_virtualization.c	ok	0	124	68abbf5dc136	74842503681f	false	DIFF
c-programs/dbi-prlimit-self	tests/c/dbi_prlimit_self.c	ok	0	0	b5d0a733abb9	b5d0a733abb9	true	PARITY
c-programs/dbi-self-sigqueue	tests/c/dbi_self_sigqueue.c	ok	0	2	f4c3bb314cd6	e3b0c44298fc	false	DIFF
c-programs/dbi-unsupported-syscall	tests/c/dbi_unsupported_syscall.c	ok	0	1	0dc9033cbe9b	e3b0c44298fc	false	DIFF
c-programs/dbi-wait-lifecycle	tests/c/dbi_wait_lifecycle.c	ok	0	6	8b2dc7afefe0	e3b0c44298fc	false	DIFF
c-programs/epoll-determinism	tests/c/epoll_determinism.c	ok	2	2	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/fp-reduction-nondeterminism	tests/c/fp_reduction_nondeterminism.c	ok	0	124	14e2bd92d74b	14e2bd92d74b	false	DIFF
c-programs/futex-requeue-enosys	tests/c/futex_requeue_enosys.c	ok	0	0	3a97289e8287	3a97289e8287	true	PARITY
c-programs/futex-waitv-enosys	tests/c/futex_waitv_enosys.c	ok	0	0	889b019ce9ff	889b019ce9ff	true	PARITY
c-programs/futex-wake-enosys	tests/c/futex_wake_enosys.c	ok	0	0	d841d882ef04	d841d882ef04	true	PARITY
c-programs/getcpu	tests/c/getCpu.c	ok	0	0	345e84333a58	345e84333a58	true	PARITY
c-programs/getitimer-determinism-probe	tests/c/getitimer_determinism_probe.c	ok	0	0	17720cebaa5a	17720cebaa5a	true	PARITY
c-programs/get-robust-list-child	tests/c/get_robust_list_child.c	ok	0	1	379982e3aff5	e3b0c44298fc	false	DIFF
c-programs/get-robust-list-self	tests/c/get_robust_list_self.c	ok	0	0	8a606e83612b	8a606e83612b	true	PARITY
c-programs/get-robust-list-thread	tests/c/get_robust_list_thread.c	ok	0	1	281d743aba1e	e3b0c44298fc	false	DIFF
c-programs/getsockopt-null	tests/c/getsockopt_null.c	ok	0	0	b8636471f62f	b8636471f62f	true	PARITY
c-programs/hello-alarm	tests/c/hello_alarm.c	ok	0	1	69771519a00d	91e5d02df30b	false	DIFF
c-programs/hello-nostdlib	tests/c/simple/hello_nostdlib.c	ok	0	0	e3b0c44298fc	e3b0c44298fc	true	PARITY
c-programs/hello-signals	tests/c/hello_signals.c	ok	0	1	2b4df140dfdd	9a2330c31d89	false	DIFF
c-programs/ioctl-fioclex	tests/c/ioctl_fioclex.c	ok	0	0	ed203ed9433c	ed203ed9433c	true	PARITY
c-programs/ioctl-siocethtool	tests/c/ioctl_siocethtool.c	ok	0	0	28f38ce93b6d	28f38ce93b6d	true	PARITY
c-programs/io-uring-fallback	tests/c/io_uring_fallback.c	ok	0	0	8546e30d188b	8546e30d188b	true	PARITY
c-programs/io-uring-ring-determinism	tests/c/io_uring_ring_determinism.c	ok	0	0	5de332a6e2af	5de332a6e2af	true	PARITY
c-programs/ipc-determinism	tests/c/ipc_determinism.c	ok	2	2	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/just-spin	tests/c/just_spin.c	ok	0	0	e3b0c44298fc	e3b0c44298fc	true	PARITY
c-programs/kcmp-eperm	tests/c/kcmp_eperm.c	ok	0	0	288278193317	288278193317	true	PARITY
c-programs/keyctl-enosys	tests/c/keyctl_enosys.c	ok	0	0	83d9f2169baa	83d9f2169baa	true	PARITY
c-programs/keyctl-passthrough	tests/c/keyctl_passthrough.c	ok	0	0	decfa402c422	decfa402c422	true	PARITY
c-programs/listmount-enosys	tests/c/listmount_enosys.c	ok	0	0	231c3dfcda49	231c3dfcda49	true	PARITY
c-programs/liteinst-advanced	tests/c/liteinst_advanced.c	ok	2	2	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/lsm-get-self-attr-enosys	tests/c/lsm_get_self_attr_enosys.c	ok	0	0	e83dcdfbdee8	e83dcdfbdee8	true	PARITY
c-programs/lsm-list-modules-enosys	tests/c/lsm_list_modules_enosys.c	ok	0	0	8f5862ec33de	8f5862ec33de	true	PARITY
c-programs/lsm-set-self-attr-enosys	tests/c/lsm_set_self_attr_enosys.c	ok	0	0	326c5b270af2	326c5b270af2	true	PARITY
c-programs/madvise-determinism	tests/c/madvise_determinism.c	ok	0	17	c6053a1ebd42	e3b0c44298fc	false	DIFF
c-programs/map-shadow-stack-enosys	tests/c/map_shadow_stack_enosys.c	ok	0	0	97ae187dd98c	97ae187dd98c	true	PARITY
c-programs/memfd-secret-enosys	tests/c/memfd_secret_enosys.c	ok	0	0	dcbbb5f4e718	dcbbb5f4e718	true	PARITY
c-programs/meminfo-available-deterministic	tests/c/meminfo_available_deterministic.c	ok	0	0	7b76f77046d0	7b76f77046d0	true	PARITY
c-programs/meminfo-cached-deterministic	tests/c/meminfo_cached_deterministic.c	ok	0	0	6a4a1ce51b1c	6a4a1ce51b1c	true	PARITY
c-programs/meminfo-free-deterministic	tests/c/meminfo_free_deterministic.c	ok	0	0	b8a06902cd82	b8a06902cd82	true	PARITY
c-programs/memorypress	tests/c/memoryPress.c	ok	0	0	e3b0c44298fc	e3b0c44298fc	true	PARITY
c-programs/mmap-determinism	tests/c/mmap_determinism.c	ok	2	2	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/mmap-stress-determinism	tests/c/mmap_stress_determinism.c	ok	0	0	890065cac586	890065cac586	true	PARITY
c-programs/name-to-handle-at-eopnotsupp	tests/c/name_to_handle_at_eopnotsupp.c	ok	0	0	29e0c39b5f7a	29e0c39b5f7a	true	PARITY
c-programs/name-to-handle-directory-eopnotsupp	tests/c/name_to_handle_directory_eopnotsupp.c	ok	0	0	7e5656f3fa98	7e5656f3fa98	true	PARITY
c-programs/name-to-handle-empty-path-eopnotsupp	tests/c/name_to_handle_empty_path_eopnotsupp.c	ok	0	0	e3f9de47951c	e3f9de47951c	true	PARITY
c-programs/name-to-handle-regular-eopnotsupp	tests/c/name_to_handle_regular_eopnotsupp.c	ok	0	0	82b589b3f458	82b589b3f458	true	PARITY
c-programs/nanosleep-par	tests/c/nanosleep-par.c	ok	0	0	bf8aa1c7b00a	bf8aa1c7b00a	true	PARITY
c-programs/nanosleep-threads-nocrash	tests/c/simple/nanosleep-threads-nocrash.c	ok	0	0	e3b0c44298fc	e3b0c44298fc	true	PARITY
c-programs/nanosleep-threads-simple	tests/c/simple/nanosleep-threads-simple.c	ok	139	0	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/netlink-autobind-generic	tests/c/netlink_autobind_generic.c	ok	0	0	947db933d2be	947db933d2be	true	PARITY
c-programs/netlink-autobind-route	tests/c/netlink_autobind_route.c	ok	0	0	6b579b3015fa	6b579b3015fa	true	PARITY
c-programs/netlink-autobind-usersock	tests/c/netlink_autobind_usersock.c	ok	0	0	434cfac765f7	434cfac765f7	true	PARITY
c-programs/netns-cookie-tcp4	tests/c/netns_cookie_tcp4.c	ok	0	0	69c87be10618	69c87be10618	true	PARITY
c-programs/netns-cookie-tcp6	tests/c/netns_cookie_tcp6.c	ok	0	0	a6c1c996f6be	a6c1c996f6be	true	PARITY
c-programs/netns-cookie-udp4	tests/c/netns_cookie_udp4.c	ok	0	0	3f3599e44c7d	3f3599e44c7d	true	PARITY
c-programs/perf-event-hardware-enosys	tests/c/perf_event_hardware_enosys.c	ok	0	0	c7ea49ae4eac	c7ea49ae4eac	true	PARITY
c-programs/perf-event-open-enosys	tests/c/perf_event_open_enosys.c	ok	0	0	2ce5d62fee05	2ce5d62fee05	true	PARITY
c-programs/perf-event-software-enosys	tests/c/perf_event_software_enosys.c	ok	0	0	9dd8d0a9c510	9dd8d0a9c510	true	PARITY
c-programs/perf-event-watchpoint-enosys	tests/c/perf_event_watchpoint_enosys.c	ok	0	0	a3c1e5e84ae8	a3c1e5e84ae8	true	PARITY
c-programs/periodic-setitimer-delivery	tests/c/periodic_setitimer_delivery.c	ok	0	5	db1d924766d3	e3b0c44298fc	false	DIFF
c-programs/pidfd-open-self	tests/c/pidfd_open_self.c	ok	0	0	eb85b13112d2	eb85b13112d2	true	PARITY
c-programs/pidfd-poll-self	tests/c/pidfd_poll_self.c	ok	0	0	d9c4e30a92ce	d9c4e30a92ce	true	PARITY
c-programs/pidfd-waitid-child	tests/c/pidfd_waitid_child.c	ok	0	1	a5312c9bad9f	e3b0c44298fc	false	DIFF
c-programs/ppoll-readv	tests/c/ppoll_readv.c	ok	0	1	c03be617b251	e3b0c44298fc	false	DIFF
c-programs/ppoll-simulation	tests/c/ppoll_simulation.c	ok	0	1	8ed6c0a2fbe8	e3b0c44298fc	false	DIFF
c-programs/prctl-dumpable	tests/c/prctl_dumpable.c	ok	0	0	789f3fd97e00	789f3fd97e00	true	PARITY
c-programs/pread64-nostdlib	tests/c/simple/pread64_nostdlib.c	ok	0	0	e3b0c44298fc	e3b0c44298fc	true	PARITY
c-programs/printf-with-threads	tests/c/printf_with_threads.c	ok	0	0	e36a044d5d2a	e36a044d5d2a	true	PARITY
c-programs/print-memaddrs	tests/c/print_memaddrs.c	ok	0	0	71d3ca893bd2	dcda0e18ce51	false	DIFF
c-programs/process-mrelease-enosys	tests/c/process_mrelease_enosys.c	ok	0	0	c21e5000294b	c21e5000294b	true	PARITY
c-programs/process-vm-readv-refusal-probe	tests/c/process_vm_readv_refusal_probe.c	ok	0	0	50905f5ed2b6	50905f5ed2b6	true	PARITY
c-programs/process-vm-writev-refusal-probe	tests/c/process_vm_writev_refusal_probe.c	ok	0	0	92c63d99c7bc	92c63d99c7bc	true	PARITY
c-programs/proc-fdinfo	tests/c/proc_fdinfo.c	ok	0	1	09c8d421c9e0	e3b0c44298fc	false	DIFF
c-programs/proc-fd-link-aliases	tests/c/proc_fd_link_aliases.c	ok	0	1	2a19bd5ed55c	128cacb22ca2	false	DIFF
c-programs/procfs-positioned-probe	tests/c/procfs_positioned_probe.c	ok	0	0	96c70ad84f74	96c70ad84f74	true	PARITY
c-programs/proc-locks	tests/c/proc_locks.c	ok	0	0	fa314d5543a6	fa314d5543a6	true	PARITY
c-programs/prodcons-determinism	tests/c/prodcons_determinism.c	ok	0	0	81282a1fb814	81282a1fb814	true	PARITY
c-programs/pselect6-simulation	tests/c/pselect6_simulation.c	ok	0	1	67433759fd49	e3b0c44298fc	false	DIFF
c-programs/ptrace-attach-eperm	tests/c/ptrace_attach_eperm.c	ok	0	1	25f63715123d	e3b0c44298fc	false	DIFF
c-programs/ptrace-eperm	tests/c/ptrace_eperm.c	ok	0	0	4357c8a18b91	4357c8a18b91	true	PARITY
c-programs/ptrace-seize-eperm	tests/c/ptrace_seize_eperm.c	ok	0	1	e0f7562eb309	e3b0c44298fc	false	DIFF
c-programs/ptrace-traceme-eperm	tests/c/ptrace_traceme_eperm.c	ok	0	0	7ceef18c073f	7ceef18c073f	true	PARITY
c-programs/pty-nr-count	tests/c/pty_nr_count.c	ok	0	1	d6aa3c553b74	e3b0c44298fc	false	DIFF
c-programs/racewrite-nostdlib	tests/c/simple/racewrite_nostdlib.c	ok	0	0	e3b0c44298fc	e3b0c44298fc	true	PARITY
c-programs/random-sources	tests/c/random_sources.c	ok	0	0	746f1f2a5764	11b66de0a951	false	DIFF
c-programs/rcx-canonicalization	tests/c/rcx_canonicalization.c	ok	0	0	60ab39b068f2	60ab39b068f2	true	PARITY
c-programs/record-replay-fd-close	tests/c/record_replay_fd_close.c	ok	0	1	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/record-replay-file-state	tests/c/record_replay_file_state.c	ok	0	1	d268fdbcb2aa	e3b0c44298fc	false	DIFF
c-programs/record-replay-lseek-seek-cur	tests/c/record_replay_lseek_seek_cur.c	ok	2	2	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/record-replay-setsockopt	tests/c/record_replay_setsockopt.c	ok	0	0	81a01674bdbc	81a01674bdbc	true	PARITY
c-programs/recvmsg-scm-rights-mmap	tests/c/recvmsg_scm_rights_mmap.c	ok	0	1	50212370d90c	e3b0c44298fc	false	DIFF
c-programs/remap-file-pages-anonymous-enosys	tests/c/remap_file_pages_anonymous_enosys.c	ok	0	0	18b174a569bf	18b174a569bf	true	PARITY
c-programs/remap-file-pages-memfd-enosys	tests/c/remap_file_pages_memfd_enosys.c	ok	0	1	bd053ef4819b	e3b0c44298fc	false	DIFF
c-programs/remap-file-pages-tmpfile-enosys	tests/c/remap_file_pages_tmpfile_enosys.c	ok	0	0	86f8d7cfd95f	86f8d7cfd95f	true	PARITY
c-programs/request-key-enosys	tests/c/request_key_enosys.c	ok	0	0	745b53ba9579	745b53ba9579	true	PARITY
c-programs/resource-determinism	tests/c/resource_determinism.c	ok	1	1	fbfff6691efd	946d05e83850	false	DIFF
c-programs/sched-setattr-batch	tests/c/sched_setattr_batch.c	ok	0	0	99eac8d5cfe2	99eac8d5cfe2	true	PARITY
c-programs/sched-setattr-idle	tests/c/sched_setattr_idle.c	ok	0	0	5ee4cb2f5210	5ee4cb2f5210	true	PARITY
c-programs/sched-setattr-other	tests/c/sched_setattr_other.c	ok	0	0	b9b3b39b4487	b9b3b39b4487	true	PARITY
c-programs/scheduler-policy-queries	tests/c/scheduler_policy_queries.c	ok	0	0	49a4292eaa9d	49a4292eaa9d	true	PARITY
c-programs/sched-yield-progress	tests/c/sched_yield_progress.c	ok	0	0	0cf05b84c117	0cf05b84c117	true	PARITY
c-programs/setitimer-determinism	tests/c/setitimer_determinism.c	ok	0	0	aa8afff1d4a0	ba4e438ab1bc	false	DIFF
c-programs/sigmask-preemption	tests/c/sigmask_preemption.c	ok	0	0	33120d6f8e58	33120d6f8e58	true	PARITY
c-programs/signal-determinism	tests/c/signal_determinism.c	ok	2	2	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/sigpipe-siginfo	tests/c/sigpipe_siginfo.c	ok	0	1	57183d003d23	e3b0c44298fc	false	DIFF
c-programs/sigtimedwait-no-timeout	tests/c/sigtimedwait-no-timeout.c	ok	0	0	879d7ab11fa7	879d7ab11fa7	true	PARITY
c-programs/sigtimedwait-timeout-0s	tests/c/sigtimedwait-timeout-0s.c	ok	0	0	1fdb5bc221fe	53767dd42b6d	false	DIFF
c-programs/sigtimedwait-timeout-1s	tests/c/sigtimedwait-timeout-1s.c	ok	0	0	879d7ab11fa7	879d7ab11fa7	true	PARITY
c-programs/socket-cookie-tcp	tests/c/socket_cookie_tcp.c	ok	0	0	0d7b76545ff7	98cabb00876c	false	DIFF
c-programs/socket-cookie-udp	tests/c/socket_cookie_udp.c	ok	0	0	a6ae2846a83a	6d57d6044dbd	false	DIFF
c-programs/socket-cookie-unix	tests/c/socket_cookie_unix.c	ok	0	0	8a1ce4faf2c2	26d05575c317	false	DIFF
c-programs/socket-ioctl-timestamp	tests/c/socket_ioctl_timestamp.c	ok	1	1	e3b0c44298fc	e3b0c44298fc	false	DIFF
c-programs/socket-timestamp-edge-cases	tests/c/socket_timestamp_edge_cases.c	ok	0	3	9fce9091ad60	e3b0c44298fc	false	DIFF
c-programs/socket-timestamp-timespec	tests/c/socket_timestamp_timespec.c	ok	0	2	0377a763e461	e3b0c44298fc	false	DIFF
c-programs/socket-timestamp-timeval	tests/c/socket_timestamp_timeval.c	ok	0	2	c0d174d0dca6	e3b0c44298fc	false	DIFF
c-programs/so-incoming-cpu-tcp4	tests/c/so_incoming_cpu_tcp4.c	ok	0	1	37d9e0d38876	e3b0c44298fc	false	DIFF
c-programs/so-incoming-cpu-tcp6	tests/c/so_incoming_cpu_tcp6.c	ok	0	1	71986d6a252d	e3b0c44298fc	false	DIFF
c-programs/so-incoming-cpu-udp4	tests/c/so_incoming_cpu_udp4.c	ok	0	1	b49fc8be9466	e3b0c44298fc	false	DIFF
c-programs/splice-enosys	tests/c/splice_enosys.c	ok	0	0	0bc4f64fe4ad	0bc4f64fe4ad	true	PARITY
c-programs/statmount-enosys	tests/c/statmount_enosys.c	ok	0	0	84a55d7cfcd9	84a55d7cfcd9	true	PARITY
c-programs/syscall-file-io	tests/c/syscall_file_io.c	ok	0	0	632d0f8b9698	632d0f8b9698	true	PARITY
c-programs/syscall-file-metadata	tests/c/syscall_file_metadata.c	ok	0	0	57a74d78ecf9	57a74d78ecf9	true	PARITY
c-programs/syscall-quick-wins	tests/c/syscall_quick_wins.c	ok	0	1	5d19b00a019f	e3b0c44298fc	false	DIFF
c-programs/sysfs-enosys	tests/c/sysfs_enosys.c	ok	0	0	77a60c6b8a6c	77a60c6b8a6c	true	PARITY
c-programs/sysinfo	tests/c/sysinfo.c	ok	0	0	321e6c1420bd	21b9eb99690e	false	DIFF
c-programs/sysinfo-uptime	tests/c/sysinfo_uptime.c	ok	0	0	80f6d7621738	7efdf4a25a32	false	DIFF
c-programs/syslog-deterministic	tests/c/syslog_deterministic.c	ok	0	0	c23edf066d3b	c23edf066d3b	true	PARITY
c-programs/sysv-sem-enosys	tests/c/sysv_sem_enosys.c	ok	0	0	f024dd91d8c1	f024dd91d8c1	true	PARITY
c-programs/sysv-shm-enosys	tests/c/sysv_shm_enosys.c	ok	0	0	7b4564e64aa3	7b4564e64aa3	true	PARITY
c-programs/tcp-info-accept4	tests/c/tcp_info_accept4.c	ok	0	1	c830be750b31	e3b0c44298fc	false	DIFF
c-programs/tcp-info-accept6	tests/c/tcp_info_accept6.c	ok	0	1	4b386d711c9c	e3b0c44298fc	false	DIFF
c-programs/tcp-info-client4	tests/c/tcp_info_client4.c	ok	0	1	29047556927b	e3b0c44298fc	false	DIFF
c-programs/tee-enosys	tests/c/tee_enosys.c	ok	0	0	1c8d3e5b5c25	1c8d3e5b5c25	true	PARITY
