path,syscall_sites,word8_straddlers,prefix2_straddlers
/usr/bin/arc,1,0,0
/usr/bin/bat,6,0,0
/usr/bin/btrd,12,3,0
/usr/bin/btsample,1,0,0
/usr/bin/buildah,41,1,0
/usr/bin/clean_xar_mounts,1,0,0
/usr/bin/fb-cgroups-setup,1,0,0
/usr/bin/git-lfs,39,2,1
/usr/bin/hg,1,0,0
/usr/bin/mkscratch,1,0,0
/usr/bin/my_print_defaults,1,0,0
/usr/bin/oid.real,1,0,0
/usr/bin/scm_daemon,1,0,0
/usr/bin/stream,1,0,0
/usr/bin/valgrind,2,0,0
/usr/bin/wprof,20,1,0
/usr/bin/x509whoami,1,0,0
/usr/bin/xarexec_fuse,1,0,0
/usr/lib64/ld-linux-x86-64.so.2,53,5,0
/usr/lib64/libasan.so.6.0.0,55,9,3
/usr/lib64/libc.so.6,510,78,3
/usr/lib64/libgomp.so.1.0.0,38,4,0
/usr/lib64/libunwind.so.8.1.0,1,0,0
/usr/lib64/libunwind-x86_64.so.8.1.0,1,0,0
/usr/lib64/liburing-ffi.so.2.12,77,9,3
/usr/lib64/liburing.so.2.12,77,7,3
