test_name,ptrace_strict,liteinst_strict,parity,ptrace_l2,liteinst_l2,ptrace_stdout_sha256,liteinst_stdout_sha256,ptrace_detail,liteinst_detail
hello_stdout,pass,pass,1,pass,pass,a948904f2f0f479b8f8197694b30184b0d2ed1c1cd2a1ec0fb85d299a192a447,a948904f2f0f479b8f8197694b30184b0d2ed1c1cd2a1ec0fb85d299a192a447,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
argument_forwarding,pass,pass,1,pass,pass,b1a07ca919ed751eb6ad81341c003247305619887cac29202224b5448876bf4f,b1a07ca919ed751eb6ad81341c003247305619887cac29202224b5448876bf4f,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
exit_zero,pass,pass,1,pass,pass,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
exit_status,pass,pass,1,pass,pass,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
file_read,pass,pass,1,pass,pass,272e022cb918a4d7fdc8bb813fe0583bb41c91f70a97c7d20cc565467b7fd7f5,272e022cb918a4d7fdc8bb813fe0583bb41c91f70a97c7d20cc565467b7fd7f5,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
file_mutation,pass,pass,1,pass,pass,632d0f8b9698ef9868e243dd5432fca72d482ec38beb954c8af6f6ddf94e8e51,632d0f8b9698ef9868e243dd5432fca72d482ec38beb954c8af6f6ddf94e8e51,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
file_metadata,pass,pass,1,pass,pass,57a74d78ecf93f4f8f188f946cdd5345bed2d126fc15a9f362d320bed2c5236a,57a74d78ecf93f4f8f188f946cdd5345bed2d126fc15a9f362d320bed2c5236a,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
io_uring_fallback,pass,pass,1,pass,pass,8546e30d188b0b196b8d907e1289e7b830df6fd61ff9dd83f5165ba9bda77e7f,8546e30d188b0b196b8d907e1289e7b830df6fd61ff9dd83f5165ba9bda77e7f,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
listmount_unavailable,pass,pass,1,pass,pass,231c3dfcda497bd1b166dfb575578d2868721d30f15362cfabcad6f930e43713,231c3dfcda497bd1b166dfb575578d2868721d30f15362cfabcad6f930e43713,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
process_vm_readv_refusal,pass,pass,1,pass,pass,50905f5ed2b6d9b2083dc16aabfd535f7c531aa42e72dc6c2b67f36e70e97a66,50905f5ed2b6d9b2083dc16aabfd535f7c531aa42e72dc6c2b67f36e70e97a66,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
process_vm_writev_refusal,pass,pass,1,pass,pass,92c63d99c7bc830d36fb97a16d43febe7a7fcdca938131c9963f92c1b1a2b59d,92c63d99c7bc830d36fb97a16d43febe7a7fcdca938131c9963f92c1b1a2b59d,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
executable_mmap,pass,pass,1,pass,pass,87ef25ed096b64f71e5581bf5d09a9bb24b8dca9402b010322037898b99a81cf,87ef25ed096b64f71e5581bf5d09a9bb24b8dca9402b010322037898b99a81cf,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
memory_advice,pass,pass,1,pass,pass,c6053a1ebd42e4762ac34b01ed5d666e0b1f5f18b83ddca9d1b7f4ebef175e83,c6053a1ebd42e4762ac34b01ed5d666e0b1f5f18b83ddca9d1b7f4ebef175e83,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
heap_growth,pass,fail,0,pass,fail,753fee7e84d0496c0520b15b0f1ef36bdb7f22918c77eee9c84c4fdfd5556f83,,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,"strict run 1 exited 1, expected 0: hermit: [liteinst host hybrid] activation verified (traps=1, hooks=31); Detcore Tool active in ptrace host
sbrk: Cannot allocate memory; verify exited 1, expected 0: erministic numerical data before comparison...
  Comparing DETLOG messages...

Done processing logs, no substantive differences found.
:: Success: deterministic. Determinism verified.
:: Backend: LiteInst host hybrid (reverie-liteinst patch runtime + ptrace Detcore Tool)
sbrk: Cannot allocate memory"
anonymous_mmap_layout,pass,pass,1,pass,pass,15b9116dda3b0b56e35433e5e67fc521aec4dcfe0bd3ad98e910674a58b2f5df,15b9116dda3b0b56e35433e5e67fc521aec4dcfe0bd3ad98e910674a58b2f5df,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
shared_anonymous_mmap,pass,pass,1,pass,pass,7664484fe76fd2e2bd1564e2c7dbbebe5ac2ea169e06dc4b0a3cb3dbd1f185cb,7664484fe76fd2e2bd1564e2c7dbbebe5ac2ea169e06dc4b0a3cb3dbd1f185cb,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
cpuid_policy,pass,pass,1,pass,pass,86ff9718c1542322ee8165258f455b9774cc88c99e37cc57f30e74283a2d83c0,86ff9718c1542322ee8165258f455b9774cc88c99e37cc57f30e74283a2d83c0,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
virtual_clock,pass,pass,0,pass,pass,3aac9e0db1ee47e837458f2662564b111d79d0dfd15d664bbc2dc4c0b85fea48,d6cf2b20c67be2ea7fcdd65eab7c77435f72158a1657682fd557dfb4557f6856,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
random_sources,pass,pass,1,pass,pass,4e496953c5ba41165f1c32f2af0a634a92379fd077cb41c0a53824fec2397816,4e496953c5ba41165f1c32f2af0a634a92379fd077cb41c0a53824fec2397816,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
virtual_pid,pass,pass,1,pass,pass,342cc5c394f2bfe94370f4f30493c870f7877e1dd0646dc7c41af1fc9d14838c,342cc5c394f2bfe94370f4f30493c870f7877e1dd0646dc7c41af1fc9d14838c,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched,3/3 strict observations matched; L2 DETLOG-bitwise: --verify double-run matched
