prog,native_rc,native_out_sha,ptrace_verify,li_rc,li_verify,li_out_sha,li_matches_native,li_verdict
01_hello,0,9eb3ab918ef2,L2,0,L2,9eb3ab918ef2,yes,L2-MATCH
02_arith,0,abc5d15546aa,L2,0,L2,abc5d15546aa,yes,L2-MATCH
03_heap,0,a2636df9a410,L2,0,L2,a2636df9a410,yes,L2-MATCH
04_fileio,0,94a672833858,L2,0,L2,94a672833858,yes,L2-MATCH
05_getpid,0,dbc16ad9c8dd,L2,0,L2,c04b0e643e47,no,L2-MATCH
06_env,0,358a5d82ed60,L2,0,L2,358a5d82ed60,yes,L2-MATCH
07_strsort,0,2dc2993c2f08,L2,0,L2,2dc2993c2f08,yes,L2-MATCH
08_mathlib,0,ef483224911e,L2,0,L2,ef483224911e,yes,L2-MATCH
09_clock,0,d9f58dabf97e,L2,0,L2,d9f58dabf97e,yes,L2-MATCH
10_rand_libc,0,cf2342510172,L2,0,L2,cf2342510172,yes,L2-MATCH
11_argv,0,798257fffe82,L2,0,L2,798257fffe82,yes,L2-MATCH
12_fib,0,ccde3035e8dc,L2,0,L2,ccde3035e8dc,yes,L2-MATCH
13_bufio,0,a2322a741909,L2,0,L2,a2322a741909,yes,L2-MATCH
14_getrandom,0,c203a02e9e11,L2,0,L2,e70e9a38611e,no,L2-MATCH
15_mmap,0,2d4dd34871ea,L2,0,L2,2d4dd34871ea,yes,L2-MATCH
16_time_fmt,0,e5eb0db1d68e,L2,0,L2,e5eb0db1d68e,yes,L2-MATCH
17_pthread,0,37fc514a8f8c,L2,0,L2,e710bb44b592,no,L2-WRONG
18_fork,0,e3b3ca07dbe5,L2,0,L2,672d0957afb4,no,L2-WRONG
19_signal,0,9b714977e278,L2,1,FAIL,e3b0c44298fc,no,REJECT
20_alarm,0,a05c785585a4,L2,124,HANG,e3b0c44298fc,no,HANG
