phase,surface_or_guest,backend,hermit_build,differing,matching,denominator,first_differing_ordinal,verdict
predicted-vs-actual,notsc stack ordinals,liteinst,077833ad,0,410,410,none,PREDICTED 410/410 ACTUAL 410/410 GAP ZERO
predicted-vs-actual,maps reproducer lines,liteinst,077833ad,0,56,56,none,PREDICTED 0/56 ACTUAL 0/56 GAP ZERO
surface-pre,/proc/self/maps,liteinst,86842f741,14,42,56,none,leaks host inode
surface-pre,/proc/self/smaps,liteinst,86842f741,14,1442,1456,none,leaks host inode
surface-pre,/proc/self/numa_maps,liteinst,86842f741,0,55,55,none,no inode column
surface-post,/proc/self/maps,liteinst,077833ad,0,56,56,none,FIXED - inode renumbered to small ordinals
surface-post,/proc/self/smaps,liteinst,077833ad,14,1442,1456,none,NOT FIXED - raw host inode still leaks
surface-post,/proc/self/numa_maps,liteinst,077833ad,0,55,55,none,unaffected
consequence,smapsread guest stack ordinals,ptrace,077833ad,0,51,51,none,clean reference
consequence,smapsread guest stack ordinals,liteinst,077833ad,15,402,417,402,ORIGINAL SIGNATURE REPRODUCED ON THE FIX BUILD
