guest,backend,verdict,y,z,emitted,rc,stdout,first_divergence_index,first_difference
coreutil-wc,ptrace,GOLDEN,7,7,7,0,"27 /etc/hostname\n",,"replicate identical"
coreutil-wc,liteinst,DEPTH,2,7,33,0,"27 /etc/hostname\n",2,"committed Path is injected libreverie_liteinst.so instead of /etc/ld.so.cache"
coreutil-wc,kvm,DEPTH,2,7,7,0,"27 /etc/hostname\n",2,"same /etc/ld.so.cache Path; virtual time 0.001_298_250s instead of 0.001_334_260s"
coreutil-wc,dbi,UNAVAILABLE,,7,0,1,"",,"DBI support was not included in this build; not 0/7"
coreutil-wc,sabre,UNAVAILABLE,,7,0,1,"",,"SaBRe support was not included in this build; not 0/7"
coreutil-wc,e9patch,UNAVAILABLE,,7,0,1,"",,"e9patch support was not included in this build; not 0/7"
fork-exec-pipeline,ptrace,GOLDEN,30,30,30,0,"2\n",,"replicate identical"
fork-exec-pipeline,liteinst,DEPTH_AND_EXECUTION_FAIL,2,30,37,1,"",2,"injected DSO Path; cleanup ENOTSUPP and no stdout"
fork-exec-pipeline,kvm,DEPTH_AND_EXECUTION_FAIL,2,30,5836,1,"0\n",2,"virtual-time divergence; wc standard input EAGAIN"
fork-exec-pipeline,dbi,UNAVAILABLE,,30,0,1,"",,"DBI support was not included in this build; not 0/30"
fork-exec-pipeline,sabre,UNAVAILABLE,,30,0,1,"",,"SaBRe support was not included in this build; not 0/30"
fork-exec-pipeline,e9patch,UNAVAILABLE,,30,0,1,"",,"e9patch support was not included in this build; not 0/30"
control-coreutil,ptrace-self,POSITIVE_CONTROL,7,7,7,0,"",,"full depth is reachable"
control-coreutil,liteinst-baseline,BASELINE,2,7,33,0,"",2,"measured candidate"
control-coreutil,liteinst-perturb-index-1,NEGATIVE_CONTROL,1,7,33,0,"",1,"deliberate token appended to candidate record index 1"
control-coreutil,liteinst-perturb-index-0,NEGATIVE_CONTROL,0,7,33,0,"",0,"deliberate token appended to candidate record index 0; explicit 0/7"
