cell_id,kind,path,host_readable,verify_rc,verified,bitwise_parity,verify_strictness,guest_exit_code,content_run1_rc,content_run2_rc,content_equal,stdout_sha256,stdout_bytes,host_sha256,host_bytes,guest_equals_host,status
1,Stat,/proc/self/stat,true,0,true,false,stripped,0,0,0,true,b09d4d662ae1d3cabf0e2c2e1d373bc8f887f98b53d33d92bc9e8297cb79862f,133,09c655704f9596afda5d203bbf1d9bb256064a631817e4d776099beb243db8bf,325,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
2,Status,/proc/self/status,true,0,true,false,stripped,0,0,0,true,d0a5825465db6b4c1f3f80fe19103128af0bb734807645ee4af4bb697f6e76af,1161,adefcfa4270fca9a9beda348b9a1518df7ea58ea01d128f5895c65786d0b204f,1425,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
3,ThreadStat,/proc/thread-self/stat,true,0,true,false,stripped,0,0,0,true,b09d4d662ae1d3cabf0e2c2e1d373bc8f887f98b53d33d92bc9e8297cb79862f,133,16b428579f5a2b0529b063f6fc0fbe5698ed1ea450d83ce5e2ff6ab839096cac,325,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
4,ThreadStatus,/proc/thread-self/status,true,0,true,false,stripped,0,0,0,true,d0a5825465db6b4c1f3f80fe19103128af0bb734807645ee4af4bb697f6e76af,1161,24bcda27cd4c15380a9f9486572d25c715bb0a827bf21b3657f9f1d64c11126a,1425,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
5,ProcessStat,/proc/1/stat,true,0,true,false,stripped,0,0,0,true,ac2b4527909bbf888c956b9c1579e45eaa163d3ab0e77f8002bbdb8736d88ece,151,1e0f22363f93d064c7016276fb7d1c390f130da6aedd7996156413a8536ceeae,213,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
6,Statm,/proc/self/statm,true,0,true,false,stripped,0,0,0,true,2746d8486443c0620601af45735b57713a2639346594473fff944397c58354f5,14,41b4e3fff9561ec176af5cd64cedef60ca32700a465c8926352506e25eae3fdb,22,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
7,ProcessStatus,/proc/1/status,true,0,true,false,stripped,0,0,0,true,ace28f7c256b3fd0ea1c931d5d4d4317694131038521327934ca966fd3bbc653,1173,67f04bf8ab92adb5ab6888766058f93501feb32b2bcbf2b99749651a8b24c9a4,1231,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
8,SystemStat,/proc/stat,true,0,true,false,stripped,0,0,0,true,a2245da44cf05da980026122c71f874a37c2459b36708c93896d8f3411f45100,24429,40d4656fbbc9c7ea3cd78981d52a4cb1ada69daa1848c63c0d1d26912d1a1f12,33565,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
9,Cpuinfo,/proc/cpuinfo,true,0,true,false,stripped,0,0,0,true,04c0b5eb48d29d7cccb1cc816a47b1523db0f9c96dbdccfd70562c7122c2eea9,615650,0aab8511a83d3d048b1db896261d0776ef7017da932585faf065aadf230d1d30,615650,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
10,Diskstats,/proc/diskstats,true,0,true,false,stripped,0,0,0,true,32569919388a48f56d42384428d1b181ac119838273e330a7a6e1ccdec981c5f,6410,3ab091f685838f5c7d143f2e5320b918a4f4af889f4f22e62eb8d8a02990bd6e,8122,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
11,Loadavg,/proc/loadavg,true,0,true,false,stripped,0,0,0,true,035a66ef462d6a026dd0514e5310b23615025e2174b84dac7d0ea8b5a637eeca,21,c4faeae1244c9b4c61cd3f9b50ca7c8c1b84f550431102cd4cf5315e71755d17,35,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
12,ProcessIo,/proc/self/io,true,0,true,false,stripped,0,0,0,true,79fb07b60746ede4725cb34127bf5ced539d8daf04238adcc5032ed12c1131df,90,1ad0d6b1764e14d02a0ad6e955019049bdb32d6b61b9068c44e5954d89b5a831,94,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
13,Uptime,/proc/uptime,true,0,true,false,stripped,0,0,0,true,1939fceb5dfe138fac75a533a27dc1c29280952cab0590481f55c3c58ebb0f4d,12,6d9c8202e2e8156458cecb96cc504a03c7ce724f02d6b3f70af08b4d085e5592,21,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
14,Meminfo,/proc/meminfo,true,0,true,false,stripped,0,0,0,true,7b46f6d13c06ff7576a5ca5c7a44233b4cf9252fd9466161346d3b3f65310b61,267,3f06a3776ad56c53e7a67cc03caf153b31dc398c88f93640c9672e2c695f604b,1632,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
15,BlockStat,/sys/block/loop0/stat,true,0,true,false,stripped,0,0,0,true,68e8e7b4510cb40c41c794a12b9dbd6bb07690c255cfb45d44453304899305b3,34,a6f253ebbbc9074833e8e15187bddaf9916714785a912aec9d59ba8ca596c373,153,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
16,NodeMeminfo,/sys/devices/system/node/node0/meminfo,true,0,true,false,stripped,0,0,0,true,92985adf15d5e3e1c24fec0ee458038d6bfb7de299e39130c3a0a2271301e180,902,fd99b10679e39bf985c5af20f36bcb7e01a83b212d54e4ae639386f95efa7d12,1289,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
17,NodeNumastat,/sys/devices/system/node/node0/numastat,true,0,true,false,stripped,0,0,0,true,a0a3fd9069208073d54343038d9a980f5c8914a5eaae8e717c11ce2accdaa308,81,14ffe34ac0f831cbe4f7cbb5b88b04b851c16599cdec7f0f1b826888ff79d01d,108,false,PASS_STRIPPED_VERIFY_EXACT_STDOUT
