mode,ghc_rts_flags,jN,run,aggregate_sha256
native,default,8,1,bc97d9c75c3ccd30d8a873c3b3182466a15a835b6258a767e2f8e7c995cd559c
native,default,8,2,04ebc6a8e6a1eca153b54e688690ea63d766dd730a56b11021617b2a1ccad7fd
native,default,8,3,d459beffafd99e49ecac6dbb67bed32f1618b1eb4b49768b18a82b2fa5256769
native,-C0,8,1,b481e35a1e383a05d108f0b66f8f8d7a15482fcc44107c769b25d515685e0a38
native,-C0,8,2,045a8d521e1787aadd665952d936248e815abf2097d23fb457c457f9b9040aa3
native,-C0,8,3,9ecf08a6878f2cc1b44b52fe1b010d6c082c7a14285247bb1acdad8d19cc73d1
native,-N8,8,1,5b2d0ea9e8a7e0bb4a861360f0e01cb556a5a8ff2432ed992455d125bdb9ac4c
native,-N8,8,2,a1f635453de7389dac4cce63d9063732bfe0308d7d102ded338260a2135e0d05
native,-N8,8,3,f49e0f24d2e655fb4fda6dc61afff27c212debade17bd3421fc4ecba42879f4d
hermit,default,8,1,ba7307fb0005ce206fa160ef1ce79758f452a8ce572a86a6d996bdd3502d0bdc
hermit,default,8,2,02ecea059126c8d9c0aefcc32504e8c7c259331080d29c940aee7147757c76ac
hermit,default,8,3,b5239004c436ffeb4c3b7e2508deab6c36f582089ac9bab4f8b06746cf0fb969
hermit,-C0,8,1,d8e7b9966c10c0a538aa7c95868dd9add009e09fb6221a2a854eb5ee6c3c1e2b
hermit,-C0,8,2,d06adcbeaffab949eb89fe2cf17ff8e440d6265c22282081e03964f9ddacf092
hermit,-C0,8,3,34fefae89ee398443119d5230f786ff0d9ef7bef1172c1dac0d9e17a3a57912c
hermit,-N8,8,1,8b64f7f01c2c422e29909bee4cc74191f21a51eed58c9bb3534c925a7adf2136
hermit,-N8,8,2,118a797b3c9cc85b0490a5c33e8ffbf56f08ee85937d251cfa088aa1af4c9230
hermit,-N8,8,3,493e04117e8dfeac291c18b946e1b41fbe36038bd1a22b554e64c1a3063ac9d6
