run,fired,iter_at_sig,ctr_at_sig,rip_at_sig
1,1,400017,1000056,0x401314
2,1,400001,1000015,0x401348
3,1,400001,1000017,0x401314
4,1,400001,1000017,0x401314
5,1,400011,1000038,0x40131f
6,1,400030,1000088,0x40135c
7,1,400023,1000072,0x401314
8,1,400002,1000017,0x40133c
9,1,400018,1000057,0x401360
10,1,400023,1000070,0x401360
11,1,400031,1000090,0x401364
12,1,400007,1000030,0x401360
13,1,400018,1000058,0x401314
14,1,400020,1000063,0x401348
15,1,400009,1000037,0x401314
16,1,400001,1000017,0x401314
17,1,400004,1000022,0x401350
18,1,400014,1000047,0x401360
19,1,400023,1000070,0x40132f
20,1,400005,1000024,0x40132f
