level,added_burners,rep,loadavg1,skid_min,skid_max,skid_mean,skid_p99,rec_margin
baseline,0,1,67.32,29,33500,173.42,585,67000
baseline,0,2,67.32,32,1784,170.87,872,3568
baseline,0,3,67.32,12,1958,171.16,810,3916
load_half,158,1,97.79,3,977,59.70,204,1954
load_half,158,2,97.79,37,1030,63.70,214,2060
load_half,158,3,97.79,2,567,60.82,212,1134
load_1x,316,1,147.23,31,1758,55.92,164,3516
load_1x,316,2,147.23,29,930,54.43,183,1860
load_1x,316,3,147.23,2,1556,54.03,177,3112
load_2x,632,1,203.83,24,384,58.32,198,768
load_2x,632,2,203.83,25,421,54.30,157,842
load_2x,632,3,203.83,36,15244,83.37,128,30488
