backend,guest,tier,extra_flags,rc_a,rc_b,stdout_same,exit_same,lines_a,lines_b,divergent_lines,caught
ptrace,clean_ctrl,INFO,-,0,0,same,same,108,108,0,missed
ptrace,clean_ctrl,INFO_DETLOG,-,0,0,same,same,79,79,0,missed
ptrace,clean_ctrl,DEBUG,-,0,0,same,same,314,314,17,CAUGHT
ptrace,clean_ctrl,HEAP,--detlog-heap,0,0,same,same,81,81,0,missed
ptrace,clean_ctrl,STACK,--detlog-stack,0,0,same,same,115,115,0,missed
ptrace,mut_stdout,INFO,-,0,0,DIFF,same,118,118,1,CAUGHT
ptrace,mut_stdout,INFO_DETLOG,-,0,0,DIFF,same,87,87,1,CAUGHT
ptrace,mut_stdout,DEBUG,-,0,0,DIFF,same,331,331,19,CAUGHT
ptrace,mut_stdout,HEAP,--detlog-heap,0,0,DIFF,same,89,89,2,CAUGHT
ptrace,mut_stdout,STACK,--detlog-stack,0,0,DIFF,same,127,127,7,CAUGHT
ptrace,mut_exit,INFO,-,1,2,same,DIFF,118,118,2,CAUGHT
ptrace,mut_exit,INFO_DETLOG,-,1,2,same,DIFF,87,87,2,CAUGHT
ptrace,mut_exit,DEBUG,-,1,2,same,DIFF,331,331,19,CAUGHT
ptrace,mut_exit,HEAP,--detlog-heap,1,2,same,DIFF,89,89,2,CAUGHT
ptrace,mut_exit,STACK,--detlog-stack,1,2,same,DIFF,127,127,8,CAUGHT
ptrace,mut_detlog_only,INFO,-,0,0,same,same,126,126,2,CAUGHT
ptrace,mut_detlog_only,INFO_DETLOG,-,0,0,same,same,93,93,2,CAUGHT
ptrace,mut_detlog_only,DEBUG,-,0,0,same,same,346,346,20,CAUGHT
ptrace,mut_detlog_only,HEAP,--detlog-heap,0,0,same,same,95,95,2,CAUGHT
ptrace,mut_detlog_only,STACK,--detlog-stack,0,0,same,same,136,136,11,CAUGHT
ptrace,mut_addr,INFO,-,0,0,same,same,121,121,3,CAUGHT
ptrace,mut_addr,INFO_DETLOG,-,0,0,same,same,89,89,3,CAUGHT
ptrace,mut_addr,DEBUG,-,0,0,same,same,338,338,22,CAUGHT
ptrace,mut_addr,HEAP,--detlog-heap,0,0,same,same,91,91,3,CAUGHT
ptrace,mut_addr,STACK,--detlog-stack,0,0,same,same,130,130,10,CAUGHT
ptrace,mut_path,INFO,-,0,0,same,same,124,124,3,CAUGHT
ptrace,mut_path,INFO_DETLOG,-,0,0,same,same,91,91,3,CAUGHT
ptrace,mut_path,DEBUG,-,0,0,same,same,342,342,19,CAUGHT
ptrace,mut_path,HEAP,--detlog-heap,0,0,same,same,93,93,3,CAUGHT
ptrace,mut_path,STACK,--detlog-stack,0,0,same,same,133,133,11,CAUGHT
