backend,guest,tier,extra_flags,rc_a,rc_b,stdout_same,exit_same,lines_a,lines_b,divergent_lines,caught
ptrace,clean_ctrl,INFO,-,0,0,same,same,56,56,0,missed
ptrace,clean_ctrl,INFO_DETLOG,-,0,0,same,same,41,41,0,missed
ptrace,clean_ctrl,DEBUG,-,0,0,same,same,217,217,17,CAUGHT
ptrace,clean_ctrl,HEAP,--detlog-heap,0,0,same,same,56,56,0,missed
ptrace,clean_ctrl,STACK,--detlog-stack,0,0,same,same,58,58,0,missed
ptrace,mut_stdout,INFO,-,0,0,DIFF,same,66,66,1,CAUGHT
ptrace,mut_stdout,INFO_DETLOG,-,0,0,DIFF,same,49,49,1,CAUGHT
ptrace,mut_stdout,DEBUG,-,0,0,DIFF,same,234,234,23,CAUGHT
ptrace,mut_stdout,HEAP,--detlog-heap,0,0,DIFF,same,68,68,2,CAUGHT
ptrace,mut_stdout,STACK,--detlog-stack,0,0,DIFF,same,70,70,4,CAUGHT
ptrace,mut_exit,INFO,-,1,2,same,DIFF,66,66,2,CAUGHT
ptrace,mut_exit,INFO_DETLOG,-,1,2,same,DIFF,49,49,2,CAUGHT
ptrace,mut_exit,DEBUG,-,1,2,same,DIFF,234,234,20,CAUGHT
ptrace,mut_exit,HEAP,--detlog-heap,1,2,same,DIFF,68,68,2,CAUGHT
ptrace,mut_exit,STACK,--detlog-stack,1,2,same,DIFF,70,70,5,CAUGHT
ptrace,mut_detlog_only,INFO,-,0,0,same,same,74,74,2,CAUGHT
ptrace,mut_detlog_only,INFO_DETLOG,-,0,0,same,same,55,55,2,CAUGHT
ptrace,mut_detlog_only,DEBUG,-,0,0,same,same,249,249,19,CAUGHT
ptrace,mut_detlog_only,HEAP,--detlog-heap,0,0,same,same,77,77,2,CAUGHT
ptrace,mut_detlog_only,STACK,--detlog-stack,0,0,same,same,79,79,8,CAUGHT
ptrace,mut_addr,INFO,-,0,0,same,same,69,69,3,CAUGHT
ptrace,mut_addr,INFO_DETLOG,-,0,0,same,same,51,51,3,CAUGHT
ptrace,mut_addr,DEBUG,-,0,0,same,same,241,241,21,CAUGHT
ptrace,mut_addr,HEAP,--detlog-heap,0,0,same,same,71,71,3,CAUGHT
ptrace,mut_addr,STACK,--detlog-stack,0,0,same,same,73,73,6,CAUGHT
ptrace,mut_path,INFO,-,0,0,same,same,72,72,3,CAUGHT
ptrace,mut_path,INFO_DETLOG,-,0,0,same,same,53,53,3,CAUGHT
ptrace,mut_path,DEBUG,-,0,0,same,same,245,245,18,CAUGHT
ptrace,mut_path,HEAP,--detlog-heap,0,0,same,same,74,74,3,CAUGHT
ptrace,mut_path,STACK,--detlog-stack,0,0,same,same,76,76,8,CAUGHT
