backend,guest,tier,rc_a,rc_b,stdout_same,exit_same,src,lines_a,lines_b,divergent,caught
dbi,clean_ctrl,INFO,0,0,same,same,stderr,91,91,77,CAUGHT
dbi,clean_ctrl,INFO_DETLOG,0,0,same,same,stderr,78,78,74,CAUGHT
dbi,clean_ctrl,DEBUG,0,0,same,same,stderr,103,103,86,CAUGHT
dbi,clean_ctrl,HEAP,0,0,same,same,stderr,78,78,74,CAUGHT
dbi,clean_ctrl,STACK,0,0,same,same,stderr,114,114,110,CAUGHT
dbi,mut_stdout,INFO,0,0,DIFF,same,stderr,101,101,85,CAUGHT
dbi,mut_stdout,INFO_DETLOG,0,0,DIFF,same,stderr,86,86,82,CAUGHT
dbi,mut_stdout,DEBUG,0,0,DIFF,same,stderr,115,115,95,CAUGHT
dbi,mut_stdout,HEAP,0,0,DIFF,same,stderr,86,86,82,CAUGHT
dbi,mut_stdout,STACK,0,0,DIFF,same,stderr,126,126,122,CAUGHT
dbi,mut_exit,INFO,1,2,same,DIFF,stderr,101,101,85,CAUGHT
dbi,mut_exit,INFO_DETLOG,1,2,same,DIFF,stderr,86,86,82,CAUGHT
dbi,mut_exit,DEBUG,1,2,same,DIFF,stderr,115,115,95,CAUGHT
dbi,mut_exit,HEAP,1,2,same,DIFF,stderr,86,86,82,CAUGHT
dbi,mut_exit,STACK,1,2,same,DIFF,stderr,126,126,122,CAUGHT
dbi,mut_detlog_only,INFO,0,0,same,same,stderr,109,109,91,CAUGHT
dbi,mut_detlog_only,INFO_DETLOG,0,0,same,same,stderr,92,92,88,CAUGHT
dbi,mut_detlog_only,DEBUG,0,0,same,same,stderr,125,125,102,CAUGHT
dbi,mut_detlog_only,HEAP,0,0,same,same,stderr,92,92,88,CAUGHT
dbi,mut_detlog_only,STACK,0,0,same,same,stderr,135,135,131,CAUGHT
dbi,mut_addr,INFO,0,0,same,same,stderr,104,104,88,CAUGHT
dbi,mut_addr,INFO_DETLOG,0,0,same,same,stderr,88,88,84,CAUGHT
dbi,mut_addr,DEBUG,0,0,same,same,stderr,121,121,98,CAUGHT
dbi,mut_addr,HEAP,0,0,same,same,stderr,88,88,84,CAUGHT
dbi,mut_addr,STACK,0,0,same,same,stderr,129,129,125,CAUGHT
dbi,mut_path,INFO,0,0,same,same,stderr,107,107,89,CAUGHT
dbi,mut_path,INFO_DETLOG,0,0,same,same,stderr,90,90,86,CAUGHT
dbi,mut_path,DEBUG,0,0,same,same,stderr,123,123,100,CAUGHT
dbi,mut_path,HEAP,0,0,same,same,stderr,90,90,86,CAUGHT
dbi,mut_path,STACK,0,0,same,same,stderr,132,132,128,CAUGHT
