backend,guest,tier,rc_a,rc_b,stdout_same,exit_same,lines_a,lines_b,divergent,caught
dbi,clean_ctrl,INFO_DETLOG,0,0,same,same,78,78,0,missed
dbi,clean_ctrl,HEAP,0,0,same,same,78,78,0,missed
dbi,clean_ctrl,STACK,0,0,same,same,114,114,36,CAUGHT
dbi,mut_stdout,INFO_DETLOG,0,0,DIFF,same,86,86,1,CAUGHT
dbi,mut_stdout,HEAP,0,0,DIFF,same,86,86,1,CAUGHT
dbi,mut_stdout,STACK,0,0,DIFF,same,126,126,41,CAUGHT
dbi,mut_exit,INFO_DETLOG,1,2,same,DIFF,86,86,2,CAUGHT
dbi,mut_exit,HEAP,1,2,same,DIFF,86,86,2,CAUGHT
dbi,mut_exit,STACK,1,2,same,DIFF,126,126,42,CAUGHT
dbi,mut_detlog_only,INFO_DETLOG,0,0,same,same,92,92,2,CAUGHT
dbi,mut_detlog_only,HEAP,0,0,same,same,92,92,2,CAUGHT
dbi,mut_detlog_only,STACK,0,0,same,same,135,135,45,CAUGHT
dbi,mut_addr,INFO_DETLOG,0,0,same,same,88,88,3,CAUGHT
dbi,mut_addr,HEAP,0,0,same,same,88,88,3,CAUGHT
dbi,mut_addr,STACK,0,0,same,same,129,129,44,CAUGHT
dbi,mut_path,INFO_DETLOG,0,0,same,same,90,90,3,CAUGHT
dbi,mut_path,HEAP,0,0,same,same,90,90,3,CAUGHT
dbi,mut_path,STACK,0,0,same,same,132,132,45,CAUGHT
