t_s,mem_current_bytes,cpu_usage_usec,inst_cores
2,30932992,2436791,1.22
4,30932992,4566697,1.06
6,21471232,6696016,1.06
8,21729280,9047333,1.18
10,79949824,11387091,1.17
13,95096832,15600019,1.40
15,93020160,18522328,1.46
17,92106752,20750969,1.11
19,109170688,23346555,1.30
21,196489216,28044423,2.35
23,1625878528,33452164,2.70
25,188231680,39888224,3.22
27,338489344,46845956,3.48
29,1665011712,55780271,4.47
31,1796935680,107192439,25.71
33,196415488,111347767,2.08
35,185462784,115519746,2.09
37,589864960,120152853,2.32
39,814321664,124404654,2.13
41,1034465280,129734562,2.66
44,1509613568,135057995,1.77
46,1776840704,161389201,13.17
48,1265020928,180419185,9.51
50,1167491072,184547072,2.06
52,972001280,188519190,1.99
54,924712960,192738154,2.11
56,855695360,196944252,2.10
58,859013120,201196579,2.13
60,879927296,205331130,2.07
62,1615806464,239155659,16.91
64,936030208,257231378,9.04
66,877899776,261736260,2.25
68,947826688,266014906,2.14
71,944459776,270419207,1.47
73,936325120,274790323,2.19
75,901906432,279513380,2.36
77,894767104,283929611,2.21
79,873246720,288197449,2.13
81,1223299072,293425579,2.61
83,960716800,300573252,3.57
85,2130870272,317656286,8.54
87,466403328,332919064,7.63
89,749645824,338979335,3.03
91,539967488,346794353,3.91
94,219762688,352488506,1.90
96,241426432,361636084,4.57
98,543928320,379623302,8.99
100,201797632,402568933,11.47
102,347811840,430592975,14.01
104,259940352,449731525,9.57
106,267722752,457794321,4.03
108,322588672,462168086,2.19
110,265519104,467073522,2.45
113,333619200,472132267,1.69
115,276779008,477050097,2.46
117,245080064,481716009,2.33
119,261914624,485935657,2.11
121,323772416,490266100,2.17
123,289255424,494762946,2.25
125,241430528,499925009,2.58
128,240664576,505869057,1.98
130,211750912,510718091,2.42
132,175747072,516393484,2.84
135,175759360,521331401,1.65
137,213385216,526154812,2.41
139,281235456,531389619,2.62
142,294080512,540726743,3.11
145,294432768,545651577,1.64
148,333008896,551140336,1.83
150,271654912,556565001,2.71
152,275795968,562115828,2.78
155,315195392,567272397,1.72
158,331710464,572176649,1.63
160,318787584,576320662,2.07
162,299114496,581050653,2.36
164,328523776,585258078,2.10
166,181473280,590778690,2.76
168,225562624,595243098,2.23
170,240988160,599657186,2.21
172,252608512,603788656,2.07
174,228753408,608160560,2.19
176,239251456,612403666,2.12
179,241500160,616703947,1.43
181,176439296,621144653,2.22
183,279855104,626734777,2.80
185,238481408,631067679,2.17
187,220839936,635387126,2.16
189,227250176,639757477,2.19
192,189386752,644084662,1.44
194,217710592,648323595,2.12
196,144523264,652434901,2.06
198,204099584,656425081,2.00
200,201605120,659931360,1.75
202,150413312,663906771,1.99
204,160641024,668092834,2.09
206,186052608,672249337,2.08
208,185593856,676670190,2.21
210,213729280,679891346,1.61
212,326410240,682835746,1.47
214,237412352,687090863,2.13
216,184033280,691717986,2.31
219,145969152,697714233,2.00
221,220008448,701192643,1.74
223,209162240,703556880,1.18
225,210010112,708049349,2.25
227,182710272,712444914,2.20
230,217952256,716881831,1.48
232,413630464,721459590,2.29
234,441602048,726101712,2.32
236,521846784,730500339,2.20
238,387231744,741861834,5.68
240,167075840,742986176,0.56
242,1037500416,746904462,1.96
244,157597696,751072334,2.08
246,694759424,755474541,2.20
248,560599040,763485457,4.01
