node,classification,warm_elapsed_s,warm_cpu_s,cpu_wall_ratio,warm_peak_rss_gib,dag_est_duration_s,dag_wall_timeout_s
test.app_strict_verify,latency-bound,34.2,109.0,3.19,1.84,180,900
test.hermit_integration,latency-bound,55.7,103.0,1.85,2.34,300,1200
test.command_strict_verify,latency-bound,47.8,47.9,1.00,0.16,180,900
e2e.manifest_language_runtimes,latency-bound,48.5,47.4,0.98,0.15,120,600
e2e.manifest_system_utils,latency-bound,33.0,28.7,0.87,0.13,120,600
test.rr_suite_contract,light,6.8,19.8,2.93,1.63,30,300
e2e.manifest_c_programs,latency-bound,16.5,16.9,1.03,0.05,5,600
build.workspace,cpu-bound,4.7,16.6,3.56,1.67,360,1200
e2e.manifest_determinism_stress,latency-bound,20.8,16.0,0.77,0.04,150,600
test.hermit_unit,cpu-bound,3.6,14.4,3.96,1.71,120,900
test.hermit_modes,latency-bound,14.2,14.3,1.01,0.29,150,900
doc.doctests,cpu-bound,11.4,12.3,1.07,1.23,180,900
e2e.manifest_data_handling,latency-bound,11.3,12.1,1.07,0.04,90,600
build.manifest_guests,cpu-bound,14.7,11.0,0.75,0.18,90,600
e2e.metadata,light,7.9,9.0,1.13,0.18,5,60
e2e.manifest_determinism_stress_c,latency-bound,8.5,8.8,1.03,0.03,5,600
test.regular_crates,cpu-bound,16.6,8.2,0.50,0.44,200,900
e2e.manifest_applications,latency-bound,13.1,7.6,0.58,0.03,120,600
test.cli,latency-bound,6.7,5.8,0.86,0.30,150,900
test.dbi_parity,latency-bound,6.3,5.7,0.90,0.05,180,900
e2e.manifest_debugger_c,latency-bound,5.4,5.6,1.03,0.03,5,600
e2e.manifest_bin_c,latency-bound,5.4,5.6,1.02,0.03,5,600
e2e.manifest_backend_parity_c,latency-bound,5.3,5.5,1.03,0.03,5,600
e2e.manifest_chaos_c,latency-bound,5.3,5.5,1.02,0.03,5,600
e2e.manifest_shared_futex_c,latency-bound,5.2,5.3,1.02,0.03,5,600
e2e.manifest_util_c,latency-bound,5.0,5.1,1.03,0.03,5,600
check.portability_paths,light,1.9,2.0,1.07,0.09,2,60
lint.clippy,cpu-bound,15.2,0.9,0.06,0.06,300,1200
lint.rustfmt,light,0.9,0.8,0.96,0.04,20,120
doc.rustdoc,cpu-bound,1.8,0.8,0.46,0.06,150,900
test.strict_compat,latency-bound,0.5,0.6,1.38,0.04,600,1800
test.detcore_unit,cpu-bound,1.9,0.5,0.29,0.09,120,900
build.sabre_release,cpu-bound,0.5,0.4,0.78,0.04,90,1200
build.liteinst_runtime_release,cpu-bound,0.5,0.3,0.62,0.05,120,900
build.dbi_release,cpu-bound,1.4,0.3,0.20,0.05,240,1200
check.script_sigpipe,light,0.1,0.1,1.05,0.04,3,60
build.flaky_harnesses,cpu-bound,1.2,0.1,0.09,0.03,120,900
setup.nextest,light,0.1,0.0,0.54,0.01,30,600
check.backend_abstraction,light,0.0,0.0,0.49,0.00,20,120
