step,classification,peak_MiB,effective_cores,inner_jobs,oom_kills,elapsed_s,user_s,sys_s
test.hermit_integration,latency-bound,2442.1,1.8959,316,0,48.321,36.689,54.926
build.workspace,cpu-bound,1377.4,2.7946,316,0,4.381,4.432,7.811
doc.doctests,cpu-bound,1264.3,1.2613,316,0,12.12,4.39,10.897
build.manifest_guests,cpu-bound,183.2,0.759,316,0,14.598,6.342,4.738
test.regular_crates,cpu-bound,169.7,0.2442,316,0,11.498,1.041,1.767
e2e.manifest_language_runtimes,latency-bound,158.5,1.0916,316,0,43.004,36.447,10.495
test.rr_suite_contract,light,131.0,0.1031,316,0,7.389,0.229,0.532
test.detcore_unit,cpu-bound,83.1,0.459,316,0,1.282,0.358,0.231
lint.clippy,cpu-bound,60.7,0.0845,316,0,10.991,0.597,0.331
build.dbi_release,cpu-bound,44.7,0.2715,316,0,1.331,0.149,0.213
e2e.metadata,light,41.1,1.089,316,0,9.148,4.606,5.357
e2e.manifest_determinism_stress,latency-bound,38.0,1.0372,316,0,15.051,10.763,4.847
check.script_sigpipe,light,35.5,0.9798,316,0,0.125,0.042,0.08
e2e.manifest_bin_c,latency-bound,35.3,0.9195,316,0,5.783,2.678,2.64
e2e.manifest_backend_parity_c,latency-bound,34.3,0.9212,316,0,5.834,2.707,2.667
lint.rustfmt,light,32.9,0.9703,316,0,0.875,0.783,0.066
build.flaky_harnesses,cpu-bound,28.9,0.089,316,0,1.133,0.036,0.065
check.portability_paths,light,20.7,1.0104,316,0,2.078,0.77,1.329
setup.nextest,light,11.1,0.498,316,0,0.07,0.023,0.012
check.backend_abstraction,light,3.1,0.4517,316,0,0.044,0.003,0.017
